no,control,stimulus,position,ui,response,rt,SR
33,D,N,top,button,down,776.0,1.0
33,D,P,top,slider,down,632.0,1.0
33,D,G,top,button,down,732.0,1.0
33,D,M,top,slider,down,649.0,1.0
33,D,G,bottom,button,top,720.0,1.0
33,D,N,top,slider,down,697.0,1.0
33,D,P,bottom,button,top,665.0,1.0
33,D,G,bottom,slider,top,581.0,1.0
33,D,G,top,button,down,715.0,1.0
33,D,G,bottom,slider,top,599.0,1.0
33,D,P,top,button,down,614.0,1.0
33,D,P,top,slider,down,698.0,1.0
33,D,N,bottom,button,top,716.0,1.0
33,D,M,top,slider,down,598.0,1.0
33,D,P,top,button,down,782.0,1.0
33,D,N,top,slider,down,598.0,1.0
33,D,M,top,button,down,741.0,1.0
33,D,N,top,slider,down,597.0,1.0
33,D,N,top,button,down,632.0,1.0
33,D,M,bottom,slider,top,713.0,1.0
33,D,G,bottom,button,top,798.0,1.0
33,D,P,top,slider,down,798.0,1.0
33,D,N,top,button,down,815.0,1.0
33,D,N,top,slider,down,664.0,1.0
33,D,P,top,button,down,648.0,1.0
33,D,N,top,slider,down,579.0,1.0
33,D,P,top,button,down,748.0,1.0
33,D,G,bottom,slider,top,561.0,1.0
33,D,G,top,button,down,598.0,1.0
33,D,P,bottom,slider,top,564.0,1.0
33,D,M,bottom,button,top,749.0,1.0
33,D,M,top,slider,down,598.0,1.0
33,D,M,bottom,button,top,615.0,1.0
33,D,G,bottom,slider,top,535.0,1.0
33,D,G,bottom,button,top,647.0,1.0
33,D,P,bottom,slider,top,596.0,1.0
33,D,G,bottom,button,top,596.0,1.0
33,D,G,bottom,slider,top,515.0,1.0
33,D,M,bottom,button,top,782.0,1.0
33,D,G,top,slider,down,547.0,1.0
33,D,P,top,button,top,497.0,0.0
33,D,P,bottom,slider,top,530.0,1.0
33,D,G,bottom,button,top,681.0,1.0
33,D,P,top,slider,down,564.0,1.0
33,D,N,top,button,down,698.0,1.0
33,D,N,bottom,slider,top,548.0,1.0
33,D,M,top,button,down,715.0,1.0
33,D,P,top,slider,down,565.0,1.0
33,D,P,top,button,down,581.0,1.0
33,D,M,bottom,slider,top,581.0,1.0
33,D,N,top,button,down,533.0,1.0
33,D,G,top,slider,down,546.0,1.0
33,D,N,top,button,down,598.0,1.0
33,D,P,top,slider,down,1528.0,1.0
33,D,M,bottom,button,top,732.0,1.0
33,D,N,top,slider,down,598.0,1.0
33,D,M,bottom,button,top,700.0,1.0
33,D,M,top,slider,down,748.0,1.0
33,D,M,top,button,down,665.0,1.0
33,D,G,bottom,slider,top,564.0,1.0
33,D,M,top,button,down,682.0,1.0
33,D,N,bottom,slider,top,682.0,1.0
33,D,N,top,button,down,616.0,1.0
33,D,M,bottom,slider,top,631.0,1.0
33,I,N,bottom,button,top,1916.0,1.0
33,I,P,top,slider,down,1930.0,1.0
33,I,G,bottom,button,top,1216.0,1.0
33,I,M,top,slider,down,1153.0,1.0
33,I,G,bottom,button,top,1016.0,1.0
33,I,N,bottom,slider,top,917.0,1.0
33,I,P,bottom,button,top,1033.0,1.0
33,I,G,bottom,slider,top,1198.0,1.0
33,I,G,bottom,button,top,1332.0,1.0
33,I,G,top,slider,down,1028.0,1.0
33,I,P,bottom,button,top,990.0,1.0
33,I,P,bottom,slider,top,1114.0,1.0
33,I,N,bottom,button,top,1566.0,1.0
33,I,M,top,slider,down,1531.0,1.0
33,I,P,bottom,button,top,999.0,1.0
33,I,N,bottom,slider,top,1083.0,1.0
33,I,M,top,button,down,1130.0,1.0
33,I,N,bottom,slider,top,964.0,1.0
33,I,N,top,button,down,1232.0,1.0
33,I,M,bottom,slider,top,867.0,1.0
33,I,G,bottom,button,top,1083.0,1.0
33,I,P,top,slider,down,1000.0,1.0
33,I,N,top,button,down,1022.0,1.0
33,I,N,top,slider,down,1031.0,1.0
33,I,P,bottom,button,top,748.0,1.0
33,I,N,bottom,slider,top,1115.0,1.0
33,I,P,bottom,button,top,788.0,1.0
33,I,G,bottom,slider,top,1799.0,1.0
33,I,G,bottom,button,top,933.0,1.0
33,I,P,top,slider,down,1334.0,1.0
33,I,M,top,button,down,973.0,1.0
33,I,M,bottom,slider,top,977.0,1.0
33,I,M,top,button,down,873.0,1.0
33,I,G,top,slider,down,1105.0,1.0
33,I,G,top,button,down,925.0,1.0
33,I,P,bottom,slider,top,1207.0,1.0
33,I,G,top,button,down,919.0,1.0
33,I,G,top,slider,down,1025.0,1.0
33,I,M,top,button,down,1091.0,1.0
33,I,G,bottom,slider,top,1197.0,1.0
33,I,P,bottom,button,top,867.0,1.0
33,I,P,bottom,slider,top,1016.0,1.0
33,I,G,bottom,button,top,898.0,1.0
33,I,P,bottom,slider,top,1005.0,1.0
33,I,N,bottom,button,top,1122.0,1.0
33,I,N,bottom,slider,top,974.0,1.0
33,I,M,bottom,button,top,1481.0,1.0
33,I,P,top,slider,down,845.0,1.0
33,I,P,top,button,down,1088.0,1.0
33,I,M,bottom,slider,top,1031.0,1.0
33,I,N,bottom,button,top,834.0,1.0
33,I,G,top,slider,down,1153.0,1.0
33,I,N,bottom,button,top,841.0,1.0
33,I,P,bottom,slider,top,895.0,1.0
33,I,M,top,button,down,1139.0,1.0
33,I,N,top,slider,down,774.0,1.0
33,I,M,bottom,button,top,1103.0,1.0
33,I,M,bottom,slider,top,828.0,1.0
33,I,M,bottom,button,top,1127.0,1.0
33,I,G,top,slider,down,873.0,1.0
33,I,M,bottom,button,top,1078.0,1.0
33,I,N,bottom,slider,top,738.0,1.0
33,I,N,bottom,button,top,752.0,1.0
33,I,M,bottom,slider,top,821.0,1.0
