no,control,stimulus,position,ui,response,rt,SR
29,D,M,bottom,button,top,3789.0,1.0
29,D,P,top,slider,down,1974.0,1.0
29,D,N,bottom,button,top,1609.0,1.0
29,D,G,top,slider,down,1302.0,1.0
29,D,P,bottom,button,top,1708.0,1.0
29,D,N,bottom,slider,top,1215.0,1.0
29,D,N,top,button,down,1142.0,1.0
29,D,G,top,slider,down,1142.0,1.0
29,D,M,bottom,button,top,1218.0,1.0
29,D,G,top,slider,down,1126.0,1.0
29,D,N,top,button,top,1040.0,0.0
29,D,N,bottom,slider,top,1071.0,1.0
29,D,M,top,button,down,1166.0,1.0
29,D,P,bottom,slider,top,1263.0,1.0
29,D,M,top,button,down,977.0,1.0
29,D,N,bottom,slider,top,1784.0,1.0
29,D,N,bottom,button,top,1215.0,1.0
29,D,M,top,slider,down,1113.0,1.0
29,D,M,top,button,down,1079.0,1.0
29,D,N,top,slider,down,1094.0,1.0
29,D,G,bottom,button,top,1078.0,1.0
29,D,G,bottom,slider,top,2727.0,1.0
29,D,P,top,button,down,1710.0,1.0
29,D,N,top,slider,down,1168.0,1.0
29,D,P,top,button,down,1285.0,1.0
29,D,M,top,slider,down,887.0,1.0
29,D,G,top,button,down,830.0,1.0
29,D,M,top,slider,down,871.0,1.0
29,D,G,bottom,button,top,894.0,1.0
29,D,G,bottom,slider,top,817.0,1.0
29,D,N,top,button,down,790.0,1.0
29,D,M,top,slider,down,1022.0,1.0
29,D,M,top,button,top,1129.0,0.0
29,D,P,top,slider,down,935.0,1.0
29,D,P,bottom,button,down,862.0,0.0
29,D,M,bottom,slider,top,967.0,1.0
29,D,G,top,button,down,1062.0,1.0
29,D,G,top,slider,down,870.0,1.0
29,D,P,top,button,down,815.0,1.0
29,D,P,top,slider,down,893.0,1.0
29,D,G,top,button,down,831.0,1.0
29,D,N,bottom,slider,top,825.0,1.0
29,D,M,bottom,button,down,918.0,0.0
29,D,G,top,slider,top,919.0,0.0
29,D,P,bottom,button,down,1129.0,0.0
29,D,M,bottom,slider,top,798.0,1.0
29,D,G,bottom,button,down,863.0,0.0
29,D,G,bottom,slider,top,799.0,1.0
29,D,P,bottom,button,down,942.0,0.0
29,D,G,top,slider,down,840.0,1.0
29,D,M,bottom,button,down,856.0,0.0
29,D,N,bottom,slider,down,830.0,0.0
29,D,P,top,button,top,934.0,0.0
29,D,N,top,slider,down,1015.0,1.0
29,D,N,top,button,down,1311.0,1.0
29,D,G,top,slider,down,864.0,1.0
29,D,G,bottom,button,down,841.0,0.0
29,D,P,top,slider,down,767.0,1.0
29,D,N,bottom,button,down,736.0,0.0
29,D,P,bottom,slider,top,776.0,1.0
29,D,M,bottom,button,down,776.0,0.0
29,D,P,top,slider,down,896.0,1.0
29,D,M,bottom,button,down,841.0,0.0
29,D,M,bottom,slider,top,784.0,1.0
29,D,P,top,button,down,769.0,1.0
29,D,M,bottom,slider,top,703.0,1.0
29,D,M,bottom,button,down,553.0,0.0
29,D,G,top,slider,down,1095.0,1.0
29,D,N,bottom,button,top,1033.0,1.0
29,D,N,bottom,slider,top,807.0,1.0
29,D,P,top,button,down,575.0,1.0
29,D,M,top,slider,down,1375.0,1.0
29,D,G,bottom,button,top,943.0,1.0
29,D,N,bottom,slider,top,783.0,1.0
29,D,N,top,button,down,1080.0,1.0
29,D,P,top,slider,down,1135.0,1.0
29,D,P,bottom,button,top,919.0,1.0
29,D,P,bottom,slider,top,848.0,1.0
29,D,N,bottom,button,top,806.0,1.0
29,D,G,top,slider,down,854.0,1.0
29,I,M,bottom,button,top,1744.0,1.0
29,I,P,top,slider,down,2105.0,1.0
29,I,N,bottom,button,down,891.0,0.0
29,I,G,top,slider,down,709.0,1.0
29,I,P,top,button,down,834.0,1.0
29,I,N,top,slider,down,1635.0,1.0
29,I,N,top,button,down,874.0,1.0
29,I,G,bottom,slider,top,970.0,1.0
29,I,M,bottom,button,down,825.0,0.0
29,I,G,top,slider,down,1122.0,1.0
29,I,N,bottom,button,down,869.0,0.0
29,I,N,top,slider,down,976.0,1.0
29,I,M,bottom,button,top,930.0,1.0
29,I,P,top,slider,down,784.0,1.0
