no,control,stimulus,position,ui,response,rt,SR
12,I,M,bottom,button,top,1377.0,1.0
12,I,P,top,slider,down,1360.0,1.0
12,I,M,bottom,button,top,872.0,1.0
12,I,G,top,slider,down,737.0,1.0
12,I,M,bottom,button,top,921.0,1.0
12,I,M,bottom,slider,down,752.0,0.0
12,I,N,top,button,down,856.0,1.0
12,I,P,bottom,slider,top,3047.0,1.0
12,I,G,bottom,button,top,745.0,1.0
12,I,G,bottom,slider,top,786.0,1.0
12,I,M,top,button,down,793.0,1.0
12,I,N,bottom,slider,top,903.0,1.0
12,I,N,bottom,button,top,753.0,1.0
12,I,P,top,slider,down,744.0,1.0
12,I,G,bottom,button,top,975.0,1.0
12,I,N,top,slider,down,1521.0,1.0
12,I,G,top,button,down,864.0,1.0
12,I,G,top,slider,down,613.0,1.0
12,I,M,top,button,down,720.0,1.0
12,I,G,bottom,slider,top,681.0,1.0
12,I,P,top,button,down,1168.0,1.0
12,I,N,top,slider,down,680.0,1.0
12,I,M,bottom,button,top,928.0,1.0
12,I,P,top,slider,down,712.0,1.0
12,I,M,bottom,button,top,800.0,1.0
12,I,P,top,slider,down,632.0,1.0
12,I,P,top,button,down,807.0,1.0
12,I,N,bottom,slider,top,712.0,1.0
12,I,N,top,button,down,879.0,1.0
12,I,N,top,slider,down,672.0,1.0
12,I,M,top,button,down,624.0,1.0
12,I,P,top,slider,down,751.0,1.0
12,I,G,top,button,down,832.0,1.0
12,I,P,bottom,slider,top,1168.0,1.0
12,I,G,top,button,down,985.0,1.0
12,I,P,bottom,slider,top,681.0,1.0
12,I,M,top,button,down,783.0,1.0
12,I,G,top,slider,down,774.0,1.0
12,I,G,top,button,down,671.0,1.0
12,I,M,top,slider,down,1241.0,1.0
12,I,G,top,button,down,559.0,1.0
12,I,N,top,slider,down,1416.0,1.0
12,I,M,bottom,button,top,776.0,1.0
12,I,M,top,slider,down,719.0,1.0
12,I,N,top,button,down,680.0,1.0
12,I,P,bottom,slider,top,936.0,1.0
12,I,M,top,button,down,904.0,1.0
12,I,N,bottom,slider,top,783.0,1.0
12,I,M,bottom,button,top,855.0,1.0
12,I,G,top,slider,down,1143.0,1.0
12,I,G,top,button,down,871.0,1.0
12,I,N,bottom,slider,top,649.0,1.0
12,I,M,bottom,button,top,719.0,1.0
12,I,P,top,slider,down,736.0,1.0
12,I,G,top,button,down,664.0,1.0
12,I,P,bottom,slider,top,768.0,1.0
12,I,G,bottom,button,top,711.0,1.0
12,I,G,top,slider,down,594.0,1.0
12,I,M,top,button,down,649.0,1.0
12,I,N,top,slider,down,704.0,1.0
12,I,N,bottom,button,top,1272.0,1.0
12,I,N,bottom,slider,top,614.0,1.0
12,I,N,top,button,down,761.0,1.0
12,I,G,bottom,slider,top,559.0,1.0
12,I,P,bottom,button,top,944.0,1.0
12,I,M,top,slider,down,592.0,1.0
12,I,G,top,button,down,1137.0,1.0
12,I,P,bottom,slider,top,767.0,1.0
12,I,P,bottom,button,top,551.0,1.0
12,I,M,bottom,slider,top,1407.0,1.0
12,I,P,top,button,down,984.0,1.0
12,I,N,top,slider,down,633.0,1.0
12,I,N,bottom,button,top,784.0,1.0
12,I,N,bottom,slider,top,790.0,1.0
12,I,N,bottom,button,top,616.0,1.0
12,I,P,bottom,slider,top,1096.0,1.0
12,I,P,top,button,down,847.0,1.0
