no,control,stimulus,position,ui,response,rt,SR
21,D,N,top,button,top,3109.0,0.0
21,D,N,bottom,slider,down,1487.0,0.0
21,D,N,top,button,top,1500.0,0.0
21,D,P,top,slider,top,1206.0,0.0
21,D,M,top,button,top,2119.0,0.0
21,D,N,top,slider,top,2052.0,0.0
21,D,P,bottom,button,down,1646.0,0.0
21,D,P,bottom,slider,down,2963.0,0.0
21,D,N,top,button,top,944.0,0.0
21,D,N,top,slider,top,2801.0,0.0
21,D,P,top,button,top,1244.0,0.0
21,D,G,top,slider,top,936.0,0.0
21,D,M,bottom,button,down,1197.0,0.0
21,D,N,top,slider,top,904.0,0.0
21,D,M,top,button,top,1279.0,0.0
21,D,M,top,slider,top,1988.0,0.0
21,D,G,bottom,button,down,1096.0,0.0
21,D,N,bottom,slider,down,900.0,0.0
21,D,P,top,button,top,871.0,0.0
21,D,P,top,slider,top,1920.0,0.0
21,D,N,bottom,button,down,926.0,0.0
21,D,P,bottom,slider,top,1076.0,1.0
21,D,P,top,button,down,850.0,1.0
21,D,G,bottom,slider,down,912.0,0.0
21,D,N,top,button,top,741.0,0.0
21,D,P,bottom,slider,down,679.0,0.0
21,D,N,top,button,top,688.0,0.0
21,D,P,bottom,slider,down,3238.0,0.0
21,D,G,bottom,button,top,1230.0,1.0
21,D,G,top,slider,top,794.0,0.0
21,D,N,bottom,button,down,2301.0,0.0
21,D,G,bottom,slider,down,894.0,0.0
21,D,N,top,button,top,772.0,0.0
21,D,G,bottom,slider,down,650.0,0.0
21,D,M,bottom,button,down,1832.0,0.0
21,D,M,bottom,slider,down,1615.0,0.0
21,D,M,top,button,top,868.0,0.0
21,D,G,top,slider,top,723.0,0.0
21,D,G,bottom,button,down,892.0,0.0
21,D,M,top,slider,top,777.0,0.0
21,D,P,bottom,button,down,889.0,0.0
21,D,M,bottom,slider,down,675.0,0.0
21,D,G,top,button,top,1208.0,0.0
21,D,M,top,slider,top,1345.0,0.0
21,D,G,bottom,button,down,1116.0,0.0
21,D,P,top,slider,top,1064.0,0.0
21,D,M,bottom,button,down,810.0,0.0
21,D,P,top,slider,top,1062.0,0.0
21,D,G,bottom,button,down,1629.0,0.0
21,D,P,top,slider,top,906.0,0.0
21,D,M,top,button,top,850.0,0.0
21,D,M,top,slider,top,2226.0,0.0
21,D,G,bottom,button,down,1067.0,0.0
21,D,P,top,slider,top,1531.0,0.0
21,D,M,top,button,top,1260.0,0.0
21,D,G,top,slider,top,574.0,0.0
21,D,P,top,button,top,919.0,0.0
21,D,M,bottom,slider,down,694.0,0.0
