no,control,stimulus,position,ui,response,rt,SR
14,D,M,top,button,down,1923.0,1.0
14,D,G,bottom,slider,top,1825.0,1.0
14,D,P,bottom,button,top,1368.0,1.0
14,D,M,top,slider,down,1426.0,1.0
14,D,M,top,button,down,1454.0,1.0
14,D,M,bottom,slider,top,1530.0,1.0
14,D,P,bottom,button,top,1402.0,1.0
14,D,G,top,slider,down,1392.0,1.0
14,D,G,bottom,button,top,1171.0,1.0
14,D,N,bottom,slider,top,1462.0,1.0
14,D,N,top,button,down,1980.0,1.0
14,D,M,top,slider,down,1094.0,1.0
14,D,M,bottom,button,top,1170.0,1.0
14,D,P,top,slider,down,1982.0,1.0
14,D,P,bottom,button,top,1181.0,1.0
14,D,M,bottom,slider,top,1245.0,1.0
14,D,M,bottom,button,top,2503.0,1.0
14,D,P,top,slider,down,1368.0,1.0
14,D,M,top,button,down,1788.0,1.0
14,D,P,bottom,slider,top,3298.0,1.0
14,D,N,bottom,button,top,1669.0,1.0
14,D,G,top,slider,down,1136.0,1.0
14,D,P,bottom,button,top,1237.0,1.0
14,D,M,bottom,slider,top,1273.0,1.0
14,D,G,bottom,button,top,1747.0,1.0
14,D,G,top,slider,down,1137.0,1.0
14,D,M,top,button,down,1153.0,1.0
14,D,P,bottom,slider,top,1247.0,1.0
14,D,G,bottom,button,top,1000.0,1.0
14,D,N,bottom,slider,top,1360.0,1.0
14,D,G,bottom,button,top,942.0,1.0
14,D,M,top,slider,down,1537.0,1.0
14,D,P,bottom,button,top,1222.0,1.0
14,D,N,bottom,slider,top,4056.0,1.0
14,D,M,top,button,down,1179.0,1.0
14,D,N,top,slider,down,1190.0,1.0
14,D,N,top,button,down,932.0,1.0
14,D,P,bottom,slider,top,1222.0,1.0
14,D,N,bottom,button,top,914.0,1.0
14,D,N,bottom,slider,top,913.0,1.0
14,D,M,bottom,button,top,997.0,1.0
14,D,N,top,slider,down,1037.0,1.0
14,D,N,top,button,down,1181.0,1.0
14,D,P,top,slider,down,1090.0,1.0
14,D,N,bottom,button,top,1042.0,1.0
14,D,N,top,slider,down,1014.0,1.0
14,D,N,bottom,button,top,835.0,1.0
14,D,G,bottom,slider,top,974.0,1.0
14,D,N,top,button,down,879.0,1.0
14,D,G,bottom,slider,top,1030.0,1.0
14,D,N,bottom,button,top,933.0,1.0
14,D,M,bottom,slider,top,1208.0,1.0
14,D,M,top,button,down,935.0,1.0
14,D,N,top,slider,down,1013.0,1.0
14,D,G,bottom,button,top,974.0,1.0
14,D,G,bottom,slider,top,2061.0,1.0
14,D,M,bottom,button,top,1052.0,1.0
14,D,P,top,slider,down,967.0,1.0
14,D,P,bottom,button,top,3243.0,1.0
14,D,N,top,slider,down,1074.0,1.0
14,D,P,top,button,down,1171.0,1.0
14,D,P,bottom,slider,top,1061.0,1.0
14,D,P,bottom,button,top,984.0,1.0
14,D,M,top,slider,down,1085.0,1.0
14,D,G,top,button,down,969.0,1.0
14,D,G,top,slider,down,1094.0,1.0
14,D,P,bottom,button,top,1043.0,1.0
14,D,G,top,slider,down,960.0,1.0
14,D,M,bottom,button,top,1013.0,1.0
14,D,G,bottom,slider,top,901.0,1.0
14,D,G,top,button,down,827.0,1.0
14,D,G,top,slider,down,919.0,1.0
14,D,G,bottom,button,top,933.0,1.0
14,D,N,bottom,slider,top,838.0,1.0
14,D,P,bottom,button,top,804.0,1.0
14,D,P,top,slider,down,858.0,1.0
14,D,G,top,button,down,761.0,1.0
14,D,M,bottom,slider,top,828.0,1.0
14,D,P,top,button,down,815.0,1.0
14,D,N,bottom,slider,top,871.0,1.0
14,I,M,top,button,down,1399.0,1.0
14,I,G,top,slider,down,1040.0,1.0
14,I,P,bottom,button,top,991.0,1.0
14,I,M,bottom,slider,top,1120.0,1.0
14,I,M,top,button,down,838.0,1.0
14,I,M,bottom,slider,top,1041.0,1.0
14,I,P,top,button,down,1359.0,1.0
14,I,G,bottom,slider,top,1534.0,1.0
14,I,G,bottom,button,top,1231.0,1.0
14,I,N,top,slider,down,1295.0,1.0
14,I,N,top,button,down,864.0,1.0
14,I,M,top,slider,down,946.0,1.0
14,I,M,top,button,down,1025.0,1.0
14,I,P,bottom,slider,top,1697.0,1.0
14,I,P,bottom,button,top,1423.0,1.0
14,I,M,top,slider,down,1328.0,1.0
14,I,M,top,button,down,1031.0,1.0
14,I,P,top,slider,down,1248.0,1.0
14,I,M,top,button,down,1040.0,1.0
14,I,P,top,slider,down,960.0,1.0
14,I,N,bottom,button,top,1457.0,1.0
14,I,G,bottom,slider,top,1051.0,1.0
14,I,P,bottom,button,top,1823.0,1.0
14,I,M,top,slider,down,1458.0,1.0
14,I,G,bottom,button,top,2392.0,1.0
14,I,G,bottom,slider,top,960.0,1.0
14,I,M,bottom,button,top,1319.0,1.0
14,I,P,top,slider,down,1200.0,1.0
14,I,G,bottom,button,top,1039.0,1.0
14,I,N,top,slider,down,1102.0,1.0
14,I,G,bottom,button,top,1080.0,1.0
14,I,M,bottom,slider,top,913.0,1.0
14,I,P,bottom,button,top,1039.0,1.0
14,I,N,top,slider,down,1090.0,1.0
14,I,M,bottom,button,top,1640.0,1.0
14,I,N,top,slider,down,1307.0,1.0
14,I,N,bottom,button,top,984.0,1.0
14,I,P,top,slider,down,1553.0,1.0
14,I,N,bottom,button,top,1135.0,1.0
14,I,N,bottom,slider,top,968.0,1.0
14,I,M,bottom,button,top,1128.0,1.0
14,I,N,bottom,slider,top,871.0,1.0
14,I,N,top,button,down,839.0,1.0
14,I,P,bottom,slider,top,1489.0,1.0
14,I,N,bottom,button,top,1432.0,1.0
