no,control,stimulus,position,ui,response,rt,SR
2,D,P,top,button,down,2601.0,1.0
2,D,M,top,slider,down,1880.0,1.0
2,D,P,top,button,down,1370.0,1.0
2,D,P,bottom,slider,top,1324.0,1.0
2,D,P,bottom,button,top,2374.0,1.0
2,D,M,top,slider,down,1112.0,1.0
2,D,G,bottom,button,top,1013.0,1.0
2,D,G,top,slider,down,1318.0,1.0
2,D,G,top,button,down,4620.0,1.0
2,D,M,bottom,slider,top,1442.0,1.0
2,D,M,bottom,button,top,1080.0,1.0
2,D,M,top,slider,down,1095.0,1.0
2,D,P,top,button,down,963.0,1.0
2,D,N,bottom,slider,top,1223.0,1.0
2,D,P,bottom,button,top,1050.0,1.0
2,D,G,bottom,slider,top,1074.0,1.0
2,D,M,bottom,button,top,1297.0,1.0
2,D,G,top,slider,down,1126.0,1.0
2,D,G,bottom,button,top,955.0,1.0
2,D,N,bottom,slider,top,2192.0,1.0
2,D,N,top,button,down,965.0,1.0
2,D,P,top,slider,down,818.0,1.0
2,D,N,bottom,button,top,945.0,1.0
2,D,N,bottom,slider,top,1013.0,1.0
2,D,M,top,button,down,876.0,1.0
2,D,G,bottom,slider,top,953.0,1.0
2,D,G,bottom,button,top,869.0,1.0
2,D,N,bottom,slider,top,951.0,1.0
2,D,P,top,button,down,854.0,1.0
2,D,M,top,slider,down,999.0,1.0
2,D,N,top,button,down,939.0,1.0
2,D,N,bottom,slider,top,1011.0,1.0
2,D,M,top,button,down,831.0,1.0
2,D,G,top,slider,down,1064.0,1.0
2,D,N,bottom,button,top,954.0,1.0
2,D,G,top,slider,down,1268.0,1.0
2,D,M,bottom,button,top,1699.0,1.0
2,D,N,bottom,slider,top,1036.0,1.0
2,D,M,top,button,down,743.0,1.0
2,D,G,top,slider,down,856.0,1.0
2,D,M,top,button,down,813.0,1.0
2,D,P,top,slider,down,758.0,1.0
2,D,N,bottom,button,top,910.0,1.0
2,D,P,bottom,slider,top,1050.0,1.0
2,D,G,top,button,down,808.0,1.0
2,D,N,top,slider,down,825.0,1.0
2,D,P,bottom,button,top,868.0,1.0
2,D,M,top,slider,down,847.0,1.0
2,D,G,top,button,down,832.0,1.0
2,D,G,bottom,slider,top,1001.0,1.0
2,D,G,bottom,button,top,871.0,1.0
2,D,M,top,slider,down,1115.0,1.0
2,D,N,top,button,down,856.0,1.0
2,D,P,top,slider,down,814.0,1.0
2,D,P,top,button,down,739.0,1.0
2,D,P,top,slider,down,918.0,1.0
2,D,P,top,button,down,728.0,1.0
2,D,G,top,slider,down,997.0,1.0
2,D,M,bottom,button,top,879.0,1.0
2,D,M,bottom,slider,top,922.0,1.0
2,D,M,top,button,down,826.0,1.0
2,D,P,bottom,slider,top,937.0,1.0
2,D,M,top,button,down,788.0,1.0
2,D,G,top,slider,down,988.0,1.0
2,D,M,bottom,button,top,926.0,1.0
2,D,N,bottom,slider,top,932.0,1.0
2,D,P,bottom,button,top,939.0,1.0
2,D,N,top,slider,down,895.0,1.0
2,D,N,bottom,button,top,866.0,1.0
2,D,N,top,slider,down,1043.0,1.0
2,D,G,top,button,down,816.0,1.0
2,D,P,bottom,slider,top,971.0,1.0
2,D,N,top,button,down,888.0,1.0
2,D,G,bottom,slider,top,978.0,1.0
2,D,P,top,button,down,759.0,1.0
2,D,N,top,slider,down,913.0,1.0
2,D,N,bottom,button,top,1028.0,1.0
2,D,P,top,slider,down,899.0,1.0
2,D,G,bottom,button,top,718.0,1.0
2,D,M,bottom,slider,top,847.0,1.0
2,I,P,bottom,button,top,1349.0,1.0
2,I,M,top,slider,down,982.0,1.0
2,I,P,top,button,down,1062.0,1.0
2,I,P,bottom,slider,top,871.0,1.0
2,I,P,bottom,button,top,1087.0,1.0
2,I,M,top,slider,down,862.0,1.0
2,I,G,bottom,button,top,1023.0,1.0
2,I,G,bottom,slider,top,1347.0,1.0
2,I,G,bottom,button,top,934.0,1.0
2,I,M,top,slider,down,1110.0,1.0
2,I,M,top,button,down,968.0,1.0
2,I,M,top,slider,down,960.0,1.0
2,I,P,top,button,down,1414.0,1.0
2,I,N,bottom,slider,top,992.0,1.0
2,I,P,top,button,down,942.0,1.0
2,I,G,top,slider,down,1016.0,1.0
2,I,M,top,button,down,1088.0,1.0
2,I,G,bottom,slider,top,1013.0,1.0
2,I,G,top,button,down,984.0,1.0
2,I,N,bottom,slider,top,1464.0,1.0
2,I,N,bottom,button,top,1023.0,1.0
2,I,P,top,slider,down,1119.0,1.0
2,I,N,bottom,button,top,913.0,1.0
2,I,N,bottom,slider,top,919.0,1.0
2,I,M,bottom,button,top,1001.0,1.0
2,I,G,top,slider,down,1000.0,1.0
2,I,G,bottom,button,top,1125.0,1.0
2,I,N,bottom,slider,top,943.0,1.0
2,I,P,bottom,button,top,1199.0,1.0
2,I,M,bottom,slider,top,910.0,1.0
2,I,N,bottom,button,top,960.0,1.0
2,I,N,top,slider,down,870.0,1.0
2,I,M,top,button,down,983.0,1.0
2,I,G,bottom,slider,top,760.0,1.0
2,I,N,bottom,button,top,1222.0,1.0
2,I,G,top,slider,down,909.0,1.0
2,I,M,bottom,button,top,942.0,1.0
2,I,N,bottom,slider,top,823.0,1.0
2,I,M,bottom,button,top,815.0,1.0
2,I,G,top,slider,down,1032.0,1.0
2,I,M,bottom,button,top,815.0,1.0
2,I,P,bottom,slider,top,1061.0,1.0
2,I,N,top,button,down,1151.0,1.0
2,I,P,top,slider,down,1039.0,1.0
2,I,G,bottom,button,top,816.0,1.0
2,I,N,bottom,slider,top,847.0,1.0
2,I,P,top,button,down,1176.0,1.0
2,I,M,top,slider,down,936.0,1.0
2,I,G,bottom,button,top,1111.0,1.0
2,I,G,top,slider,down,881.0,1.0
2,I,G,bottom,button,top,823.0,1.0
2,I,M,bottom,slider,top,847.0,1.0
2,I,N,bottom,button,top,862.0,1.0
2,I,P,top,slider,down,1104.0,1.0
2,I,P,top,button,down,1558.0,1.0
2,I,P,bottom,slider,top,994.0,1.0
2,I,P,bottom,button,top,1235.0,1.0
2,I,G,bottom,slider,top,791.0,1.0
2,I,M,bottom,button,top,831.0,1.0
2,I,M,bottom,slider,top,742.0,1.0
2,I,M,bottom,button,top,848.0,1.0
2,I,P,top,slider,down,912.0,1.0
2,I,M,top,button,down,1871.0,1.0
2,I,G,bottom,slider,top,855.0,1.0
2,I,M,bottom,button,top,1438.0,1.0
2,I,N,top,slider,down,840.0,1.0
2,I,P,top,button,down,921.0,1.0
2,I,N,bottom,slider,top,817.0,1.0
2,I,N,top,button,down,910.0,1.0
2,I,N,bottom,slider,top,911.0,1.0
2,I,G,bottom,button,top,720.0,1.0
2,I,P,top,slider,down,853.0,1.0
2,I,N,bottom,button,top,702.0,1.0
2,I,G,top,slider,down,872.0,1.0
2,I,P,bottom,button,top,960.0,1.0
2,I,N,top,slider,down,1000.0,1.0
2,I,N,bottom,button,top,800.0,1.0
2,I,P,top,slider,down,880.0,1.0
2,I,G,top,button,down,998.0,1.0
2,I,M,bottom,slider,top,830.0,1.0
