no,control,stimulus,position,ui,response,rt,SR
4,D,G,bottom,button,top,1596.0,1.0
4,D,P,top,slider,down,1252.0,1.0
4,D,M,top,button,down,1487.0,1.0
4,D,M,bottom,slider,top,1280.0,1.0
4,D,G,bottom,button,top,922.0,1.0
4,D,N,top,slider,down,1027.0,1.0
4,D,P,bottom,button,top,776.0,1.0
4,D,N,bottom,slider,top,891.0,1.0
4,D,G,bottom,button,top,698.0,1.0
4,D,P,top,slider,down,981.0,1.0
4,D,M,bottom,button,top,1061.0,1.0
4,D,N,bottom,slider,top,1008.0,1.0
4,D,N,bottom,button,top,1402.0,1.0
4,D,G,top,slider,down,809.0,1.0
4,D,P,top,button,down,763.0,1.0
4,D,P,bottom,slider,top,718.0,1.0
4,D,G,top,button,down,577.0,1.0
4,D,M,top,slider,down,809.0,1.0
4,D,G,bottom,button,top,838.0,1.0
4,D,G,bottom,slider,top,755.0,1.0
4,D,N,top,button,down,1009.0,1.0
4,D,G,top,slider,down,1786.0,1.0
4,D,M,bottom,button,top,803.0,1.0
4,D,P,bottom,slider,top,719.0,1.0
4,D,M,top,button,down,829.0,1.0
4,D,P,top,slider,down,835.0,1.0
4,D,P,top,button,top,857.0,0.0
4,D,N,bottom,slider,down,814.0,0.0
4,D,M,top,button,top,718.0,0.0
4,D,N,top,slider,down,702.0,1.0
4,D,N,top,button,down,742.0,1.0
4,D,N,top,slider,down,675.0,1.0
4,D,P,bottom,button,down,1194.0,0.0
4,D,M,top,slider,down,705.0,1.0
4,D,P,bottom,button,down,1010.0,0.0
4,D,N,top,slider,down,747.0,1.0
4,D,N,bottom,button,down,710.0,0.0
4,D,M,top,slider,top,803.0,0.0
4,D,N,top,button,top,590.0,0.0
4,D,P,bottom,slider,top,744.0,1.0
4,D,P,top,button,top,711.0,0.0
4,D,G,top,slider,down,902.0,1.0
4,D,M,bottom,button,down,809.0,0.0
4,D,G,top,slider,top,699.0,0.0
4,D,N,top,button,top,733.0,0.0
4,D,N,bottom,slider,top,768.0,1.0
4,D,G,top,button,top,707.0,0.0
4,D,P,top,slider,top,709.0,0.0
4,D,G,top,button,top,599.0,0.0
4,D,M,top,slider,down,682.0,1.0
4,D,N,bottom,button,top,665.0,1.0
4,D,M,bottom,slider,down,697.0,0.0
4,D,G,bottom,button,top,709.0,1.0
4,D,G,bottom,slider,down,748.0,0.0
4,D,N,top,button,top,786.0,0.0
4,D,P,bottom,slider,down,625.0,0.0
4,D,M,top,button,top,709.0,0.0
4,D,P,bottom,slider,down,591.0,0.0
4,D,M,top,button,top,767.0,0.0
4,D,G,top,slider,top,663.0,0.0
4,D,G,top,button,top,600.0,0.0
4,D,P,bottom,slider,down,729.0,0.0
4,D,N,bottom,button,down,711.0,0.0
4,D,G,bottom,slider,down,686.0,0.0
4,D,P,top,button,top,676.0,0.0
4,D,N,top,slider,top,1290.0,0.0
4,D,M,bottom,button,down,1114.0,0.0
4,D,M,bottom,slider,down,528.0,0.0
4,D,P,bottom,button,down,643.0,0.0
4,D,N,bottom,slider,down,1244.0,0.0
4,D,G,bottom,button,top,754.0,1.0
4,D,G,bottom,slider,down,623.0,0.0
4,D,M,top,button,top,1687.0,0.0
4,D,P,bottom,slider,down,581.0,0.0
4,D,M,top,button,top,634.0,0.0
4,D,M,top,slider,down,675.0,1.0
4,D,M,bottom,button,down,870.0,0.0
4,D,G,bottom,slider,down,609.0,0.0
4,D,N,bottom,button,down,645.0,0.0
4,D,P,bottom,slider,down,754.0,0.0
4,I,G,bottom,button,down,959.0,0.0
4,I,P,top,slider,down,834.0,1.0
4,I,M,bottom,button,down,983.0,0.0
4,I,M,bottom,slider,top,882.0,1.0
4,I,G,top,button,top,1328.0,0.0
4,I,N,bottom,slider,down,736.0,0.0
4,I,P,bottom,button,top,967.0,1.0
4,I,N,bottom,slider,down,952.0,0.0
4,I,G,top,button,top,936.0,0.0
4,I,P,bottom,slider,down,792.0,0.0
4,I,M,top,button,top,832.0,0.0
4,I,N,top,slider,down,712.0,1.0
4,I,N,bottom,button,top,1232.0,1.0
4,I,G,bottom,slider,down,745.0,0.0
4,I,P,bottom,button,down,736.0,0.0
4,I,P,bottom,slider,down,642.0,0.0
4,I,G,bottom,button,down,839.0,0.0
4,I,M,top,slider,down,753.0,1.0
4,I,G,top,button,top,922.0,0.0
4,I,G,bottom,slider,down,615.0,0.0
4,I,N,bottom,button,down,728.0,0.0
4,I,G,top,slider,down,824.0,1.0
4,I,M,bottom,button,down,792.0,0.0
4,I,P,bottom,slider,down,656.0,0.0
4,I,M,bottom,button,down,1000.0,0.0
4,I,P,top,slider,down,712.0,1.0
4,I,P,top,button,down,625.0,1.0
4,I,N,top,slider,down,775.0,1.0
4,I,M,top,button,down,695.0,1.0
4,I,N,bottom,slider,down,744.0,0.0
4,I,N,bottom,button,down,775.0,0.0
4,I,N,bottom,slider,down,833.0,0.0
4,I,P,bottom,button,down,735.0,0.0
4,I,M,bottom,slider,down,648.0,0.0
4,I,P,top,button,down,777.0,1.0
4,I,N,top,slider,down,736.0,1.0
4,I,N,bottom,button,down,681.0,0.0
4,I,M,bottom,slider,down,1216.0,0.0
4,I,N,bottom,button,down,930.0,0.0
4,I,P,top,slider,down,753.0,1.0
4,I,P,top,button,down,1137.0,1.0
4,I,G,bottom,slider,down,713.0,0.0
4,I,M,bottom,button,down,503.0,0.0
4,I,G,top,slider,down,1009.0,1.0
4,I,N,top,button,down,752.0,1.0
4,I,N,top,slider,down,736.0,1.0
4,I,G,top,button,down,609.0,1.0
4,I,P,bottom,slider,down,600.0,0.0
4,I,G,top,button,down,696.0,1.0
4,I,M,top,slider,down,1186.0,1.0
4,I,N,top,button,top,633.0,0.0
4,I,M,bottom,slider,down,679.0,0.0
4,I,G,bottom,button,down,713.0,0.0
4,I,G,top,slider,top,897.0,0.0
4,I,N,top,button,down,1216.0,1.0
4,I,P,bottom,slider,down,690.0,0.0
4,I,M,bottom,button,down,769.0,0.0
4,I,P,bottom,slider,down,1169.0,0.0
4,I,M,top,button,top,849.0,0.0
4,I,G,top,slider,top,721.0,0.0
4,I,G,bottom,button,down,1600.0,0.0
4,I,P,bottom,slider,down,1409.0,0.0
4,I,N,top,button,top,808.0,0.0
4,I,G,bottom,slider,down,689.0,0.0
4,I,P,top,button,top,783.0,0.0
4,I,N,bottom,slider,down,1706.0,0.0
4,I,M,top,button,down,874.0,1.0
4,I,M,bottom,slider,down,560.0,0.0
4,I,P,bottom,button,down,1169.0,0.0
4,I,N,bottom,slider,down,640.0,0.0
4,I,G,bottom,button,down,912.0,0.0
4,I,G,bottom,slider,down,753.0,0.0
4,I,M,top,button,top,967.0,0.0
4,I,P,bottom,slider,down,1175.0,0.0
4,I,M,bottom,button,down,1056.0,0.0
4,I,M,top,slider,down,680.0,1.0
4,I,M,bottom,button,down,648.0,0.0
4,I,G,bottom,slider,down,599.0,0.0
4,I,N,top,button,down,640.0,1.0
4,I,P,top,slider,down,689.0,1.0
