no,control,stimulus,position,ui,response,rt,SR
19,I,N,top,button,down,6554.0,1.0
19,I,P,bottom,slider,down,7553.0,0.0
19,I,N,bottom,button,down,3583.0,0.0
19,I,G,bottom,slider,down,3041.0,0.0
19,I,N,top,button,down,2792.0,1.0
19,I,G,bottom,slider,down,1504.0,0.0
19,I,G,top,button,down,2151.0,1.0
19,I,P,bottom,slider,down,9471.0,0.0
19,I,G,bottom,button,down,4455.0,0.0
19,I,M,bottom,slider,top,10488.0,1.0
19,I,M,bottom,slider,top,10488.0,1.0
19,I,G,bottom,slider,down,2988.0,0.0
19,I,P,bottom,button,top,5825.0,1.0
19,I,N,top,slider,down,1408.0,1.0
19,I,P,top,button,down,6632.0,1.0
19,I,G,top,slider,down,1479.0,1.0
19,I,P,top,button,down,7399.0,1.0
19,I,M,bottom,slider,失敗,,1.0
19,I,M,bottom,button,top,3535.0,1.0
19,I,G,top,slider,down,1176.0,1.0
19,I,P,top,button,未互動,,
19,I,N,top,slider,down,1880.0,1.0
19,I,M,bottom,button,top,1784.0,1.0
19,I,M,bottom,slider,top,3168.0,1.0
19,I,M,bottom,button,top,2449.0,1.0
19,I,P,top,slider,down,1663.0,1.0
19,I,P,bottom,button,top,3911.0,1.0
19,I,M,bottom,slider,top,1391.0,1.0
19,I,N,bottom,button,top,1521.0,1.0
19,I,N,bottom,slider,top,920.0,1.0
19,I,G,bottom,button,top,1335.0,1.0
19,I,N,top,slider,down,856.0,1.0
19,I,N,bottom,button,top,1711.0,1.0
19,I,G,bottom,slider,top,871.0,1.0
19,I,P,bottom,button,top,5617.0,1.0
19,I,P,top,slider,down,1449.0,1.0
19,I,M,top,button,down,1601.0,1.0
19,I,G,bottom,slider,top,1065.0,1.0
19,I,G,bottom,button,top,1054.0,1.0
19,I,P,bottom,slider,top,1545.0,1.0
19,I,M,top,button,down,1552.0,1.0
19,I,M,top,slider,down,1042.0,1.0
19,I,M,top,button,down,1654.0,1.0
19,I,P,top,slider,down,1240.0,1.0
19,I,G,top,button,down,1192.0,1.0
19,I,N,top,slider,down,1224.0,1.0
19,I,M,top,button,down,2097.0,1.0
19,I,P,bottom,slider,top,1192.0,1.0
19,I,N,top,button,down,1049.0,1.0
19,I,M,top,slider,down,1217.0,1.0
19,I,G,bottom,button,top,1327.0,1.0
19,I,P,bottom,slider,top,3200.0,1.0
19,I,G,top,button,down,984.0,1.0
19,I,M,bottom,slider,top,1375.0,1.0
19,I,P,bottom,button,top,3256.0,1.0
19,I,N,top,slider,down,928.0,1.0
19,I,G,top,button,down,1216.0,1.0
19,I,N,top,slider,down,1015.0,1.0
19,I,M,bottom,button,top,1385.0,1.0
19,I,P,top,slider,down,1616.0,1.0
19,I,M,bottom,button,top,2190.0,1.0
19,I,G,bottom,slider,top,1154.0,1.0
19,I,N,bottom,button,top,1585.0,1.0
19,I,N,top,slider,down,1057.0,1.0
19,I,G,bottom,button,top,1650.0,1.0
19,I,N,bottom,slider,top,887.0,1.0
19,I,P,bottom,button,top,5133.0,1.0
19,I,M,bottom,slider,top,1313.0,1.0
19,I,M,bottom,button,top,1417.0,1.0
19,I,N,bottom,slider,top,1183.0,1.0
19,I,G,bottom,button,top,1159.0,1.0
19,I,G,top,slider,down,991.0,1.0
19,I,P,bottom,button,top,1714.0,1.0
19,I,N,bottom,slider,top,1073.0,1.0
19,I,N,bottom,button,top,1449.0,1.0
19,I,N,top,slider,down,975.0,1.0
19,I,G,top,button,down,1128.0,1.0
19,I,M,top,slider,down,1015.0,1.0
19,I,P,top,button,down,2431.0,1.0
19,I,P,bottom,slider,top,1569.0,1.0
19,D,N,bottom,button,top,2322.0,1.0
19,D,P,top,slider,down,6126.0,1.0
19,D,N,top,button,down,1663.0,1.0
19,D,G,top,slider,down,2627.0,1.0
19,D,N,bottom,button,top,1619.0,1.0
19,D,G,bottom,slider,top,1009.0,1.0
19,D,G,bottom,button,top,1191.0,1.0
19,D,P,top,slider,down,4620.0,1.0
19,D,G,bottom,button,top,1824.0,1.0
19,D,M,top,slider,down,1693.0,1.0
19,D,M,top,button,down,1704.0,1.0
19,D,G,top,slider,down,3805.0,1.0
19,D,P,top,button,down,1832.0,1.0
19,D,N,top,slider,down,891.0,1.0
19,D,P,bottom,button,top,1026.0,1.0
19,D,G,bottom,slider,top,891.0,1.0
19,D,P,bottom,button,top,1285.0,1.0
19,D,M,top,slider,down,2889.0,1.0
19,D,M,bottom,button,top,1044.0,1.0
19,D,G,bottom,slider,top,1006.0,1.0
19,D,P,bottom,button,top,797.0,1.0
19,D,N,top,slider,down,6029.0,1.0
19,D,M,top,button,未互動,,
19,D,M,bottom,slider,top,788.0,1.0
19,D,M,top,button,down,1257.0,1.0
19,D,P,top,slider,down,1309.0,1.0
19,D,P,top,button,down,1020.0,1.0
19,D,M,bottom,slider,top,1107.0,1.0
19,D,N,bottom,button,top,1043.0,1.0
19,D,N,bottom,slider,top,2240.0,1.0
19,D,G,top,button,down,1088.0,1.0
19,D,N,bottom,slider,top,1202.0,1.0
