no,control,stimulus,position,ui,response,rt,SR
30,D,N,top,button,down,1111.0,1.0
30,D,M,top,slider,down,1051.0,1.0
30,D,N,top,button,down,1114.0,1.0
30,D,M,bottom,slider,top,998.0,1.0
30,D,M,top,button,down,958.0,1.0
30,D,N,bottom,slider,down,1094.0,0.0
30,D,G,bottom,button,top,2247.0,1.0
30,D,N,top,slider,down,1098.0,1.0
30,D,M,bottom,button,top,1447.0,1.0
30,D,P,top,slider,down,974.0,1.0
30,D,M,top,button,down,957.0,1.0
30,D,P,top,slider,down,976.0,1.0
30,D,G,top,button,down,883.0,1.0
30,D,M,top,slider,down,969.0,1.0
30,D,P,top,button,down,1089.0,1.0
30,D,M,top,slider,down,924.0,1.0
30,D,G,top,button,down,1683.0,1.0
30,D,M,bottom,slider,top,998.0,1.0
30,D,N,bottom,button,top,998.0,1.0
30,D,G,bottom,slider,top,743.0,1.0
30,D,G,bottom,button,top,1530.0,1.0
30,D,N,bottom,slider,top,972.0,1.0
30,D,M,bottom,button,top,870.0,1.0
30,D,N,top,slider,down,920.0,1.0
30,D,P,bottom,button,top,1580.0,1.0
30,D,P,top,slider,down,3371.0,1.0
30,D,N,top,button,down,816.0,1.0
30,D,P,bottom,slider,top,880.0,1.0
30,D,P,bottom,button,top,1843.0,1.0
30,D,G,top,slider,down,973.0,1.0
30,D,G,bottom,button,top,1417.0,1.0
30,D,N,bottom,slider,top,878.0,1.0
30,D,G,top,button,top,833.0,0.0
30,D,M,bottom,slider,top,786.0,1.0
30,D,G,bottom,button,top,918.0,1.0
30,D,G,top,slider,down,742.0,1.0
30,D,G,top,button,down,793.0,1.0
30,D,P,bottom,slider,top,805.0,1.0
30,D,P,top,button,down,870.0,1.0
30,D,G,top,slider,down,668.0,1.0
30,D,N,bottom,button,top,806.0,1.0
30,D,G,top,slider,down,782.0,1.0
30,D,M,top,button,down,1682.0,1.0
30,D,M,top,slider,down,885.0,1.0
30,D,M,bottom,button,top,1211.0,1.0
30,D,N,top,slider,down,826.0,1.0
30,D,G,top,button,down,804.0,1.0
30,D,G,bottom,slider,top,3067.0,1.0
30,D,N,top,button,down,845.0,1.0
30,D,P,top,slider,down,829.0,1.0
30,D,P,bottom,button,down,805.0,0.0
30,D,P,top,slider,down,792.0,1.0
30,D,N,top,button,down,1352.0,1.0
30,D,M,top,slider,down,809.0,1.0
30,D,G,bottom,button,top,829.0,1.0
30,D,M,bottom,slider,top,857.0,1.0
30,D,G,top,button,down,720.0,1.0
30,D,N,top,slider,down,710.0,1.0
30,D,P,bottom,button,top,1229.0,1.0
30,D,N,top,slider,down,749.0,1.0
30,D,P,bottom,button,top,1060.0,1.0
30,D,P,bottom,slider,top,735.0,1.0
30,D,N,top,button,down,730.0,1.0
30,D,G,top,slider,down,767.0,1.0
30,D,N,bottom,button,top,1616.0,1.0
30,D,G,bottom,slider,top,785.0,1.0
30,D,P,bottom,button,top,789.0,1.0
30,D,P,bottom,slider,top,643.0,1.0
30,D,P,bottom,button,top,702.0,1.0
30,D,N,top,slider,down,645.0,1.0
30,D,M,top,button,down,793.0,1.0
30,D,G,bottom,slider,top,676.0,1.0
30,D,M,top,button,down,710.0,1.0
30,D,M,top,slider,down,772.0,1.0
30,D,M,top,button,down,1368.0,1.0
30,D,M,bottom,slider,top,737.0,1.0
30,D,N,bottom,button,top,856.0,1.0
30,D,P,top,slider,down,677.0,1.0
30,D,P,bottom,button,top,694.0,1.0
30,D,N,top,slider,down,643.0,1.0
30,I,N,bottom,button,top,1065.0,1.0
30,I,M,top,slider,down,776.0,1.0
30,I,N,top,button,down,873.0,1.0
30,I,M,top,slider,down,802.0,1.0
30,I,M,bottom,button,top,944.0,1.0
30,I,N,top,slider,down,993.0,1.0
30,I,G,bottom,button,top,895.0,1.0
30,I,N,bottom,slider,top,873.0,1.0
30,I,M,top,button,down,823.0,1.0
30,I,P,top,slider,down,951.0,1.0
30,I,M,bottom,button,top,976.0,1.0
30,I,P,bottom,slider,top,752.0,1.0
30,I,G,bottom,button,top,1008.0,1.0
30,I,M,top,slider,down,752.0,1.0
30,I,P,top,button,down,807.0,1.0
30,I,M,top,slider,down,808.0,1.0
30,I,G,bottom,button,top,1224.0,1.0
30,I,M,bottom,slider,top,760.0,1.0
30,I,N,bottom,button,top,807.0,1.0
30,I,G,bottom,slider,top,929.0,1.0
30,I,G,top,button,down,784.0,1.0
30,I,N,bottom,slider,top,695.0,1.0
30,I,M,top,button,down,880.0,1.0
30,I,N,bottom,slider,top,857.0,1.0
30,I,P,top,button,down,895.0,1.0
30,I,P,bottom,slider,top,1136.0,1.0
30,I,N,bottom,button,top,848.0,1.0
30,I,P,bottom,slider,top,1128.0,1.0
30,I,P,top,button,down,945.0,1.0
30,I,G,bottom,slider,top,769.0,1.0
30,I,G,bottom,button,top,703.0,1.0
30,I,N,bottom,slider,top,688.0,1.0
30,I,G,top,button,down,761.0,1.0
30,I,M,bottom,slider,top,663.0,1.0
30,I,G,top,button,down,1375.0,1.0
30,I,G,top,slider,down,2537.0,1.0
30,I,G,bottom,button,top,718.0,1.0
30,I,P,bottom,slider,top,767.0,1.0
30,I,P,top,button,down,913.0,1.0
30,I,G,top,slider,down,702.0,1.0
30,I,N,bottom,button,top,959.0,1.0
30,I,G,top,slider,down,681.0,1.0
30,I,M,bottom,button,top,688.0,1.0
30,I,M,top,slider,down,648.0,1.0
30,I,M,bottom,button,top,1233.0,1.0
30,I,N,top,slider,down,1080.0,1.0
30,I,G,bottom,button,top,696.0,1.0
30,I,G,top,slider,down,695.0,1.0
30,I,N,bottom,button,top,720.0,1.0
30,I,P,top,slider,down,745.0,1.0
30,I,P,top,button,down,1489.0,1.0
30,I,P,top,slider,down,984.0,1.0
30,I,N,bottom,button,top,831.0,1.0
30,I,M,top,slider,down,736.0,1.0
30,I,G,bottom,button,top,695.0,1.0
30,I,M,bottom,slider,top,714.0,1.0
30,I,G,bottom,button,top,728.0,1.0
30,I,N,bottom,slider,top,760.0,1.0
30,I,P,top,button,top,737.0,0.0
30,I,N,top,slider,down,704.0,1.0
30,I,P,top,button,down,1592.0,1.0
30,I,P,top,slider,down,713.0,1.0
30,I,N,bottom,button,top,775.0,1.0
30,I,G,bottom,slider,top,929.0,1.0
30,I,N,bottom,button,top,753.0,1.0
30,I,G,top,slider,down,760.0,1.0
30,I,P,top,button,down,1064.0,1.0
30,I,P,top,slider,down,2569.0,1.0
30,I,P,top,button,down,991.0,1.0
30,I,N,top,slider,down,921.0,1.0
30,I,M,bottom,button,top,1049.0,1.0
30,I,G,top,slider,down,737.0,1.0
30,I,M,bottom,button,top,1246.0,1.0
30,I,M,top,slider,down,2537.0,1.0
30,I,M,top,button,down,1024.0,1.0
30,I,M,bottom,slider,top,2329.0,1.0
30,I,N,top,button,down,815.0,1.0
30,I,P,top,slider,down,632.0,1.0
30,I,P,bottom,button,top,791.0,1.0
30,I,N,bottom,slider,top,888.0,1.0
