no,control,stimulus,position,ui,response,rt,SR
15,D,N,top,button,down,939.0,1.0
15,D,P,bottom,slider,top,795.0,1.0
15,D,P,bottom,button,top,1176.0,1.0
15,D,P,bottom,slider,top,919.0,1.0
15,D,P,top,button,down,871.0,1.0
15,D,P,bottom,slider,top,1702.0,1.0
15,D,P,top,button,down,743.0,1.0
15,D,N,bottom,slider,top,3509.0,1.0
15,D,N,top,button,down,707.0,1.0
15,D,N,bottom,slider,top,4200.0,1.0
15,D,G,top,button,down,768.0,1.0
15,D,M,bottom,slider,top,731.0,1.0
15,D,N,bottom,button,top,1070.0,1.0
15,D,N,bottom,slider,top,789.0,1.0
15,D,M,bottom,button,top,795.0,1.0
15,D,P,top,slider,down,1771.0,1.0
15,D,N,bottom,button,top,785.0,1.0
15,D,M,top,slider,down,1780.0,1.0
15,D,G,top,button,down,744.0,1.0
15,D,M,bottom,slider,top,748.0,1.0
15,D,P,top,button,down,874.0,1.0
15,D,M,top,slider,down,1896.0,1.0
15,D,G,bottom,button,top,786.0,1.0
15,D,G,top,slider,down,729.0,1.0
15,D,N,bottom,button,top,714.0,1.0
15,D,M,bottom,slider,top,2686.0,1.0
15,D,M,top,button,down,766.0,1.0
15,D,N,top,slider,down,830.0,1.0
15,D,G,bottom,button,top,734.0,1.0
15,D,N,top,slider,down,2810.0,1.0
15,D,P,top,button,down,700.0,1.0
15,D,G,bottom,slider,top,1068.0,1.0
15,D,N,top,button,down,699.0,1.0
15,D,P,bottom,slider,top,633.0,1.0
15,D,M,top,button,down,715.0,1.0
15,D,M,bottom,slider,top,710.0,1.0
15,D,P,top,button,down,633.0,1.0
15,D,P,bottom,slider,top,633.0,1.0
15,D,N,bottom,button,top,683.0,1.0
15,D,P,bottom,slider,top,648.0,1.0
15,D,G,top,button,down,644.0,1.0
15,D,G,bottom,slider,top,635.0,1.0
15,D,M,bottom,button,top,657.0,1.0
15,D,G,top,slider,down,3341.0,1.0
15,D,P,bottom,button,top,694.0,1.0
15,D,P,bottom,slider,top,665.0,1.0
15,D,G,bottom,button,top,800.0,1.0
15,D,G,bottom,slider,top,2340.0,1.0
15,D,P,top,button,down,714.0,1.0
15,D,N,bottom,slider,top,760.0,1.0
15,D,M,top,button,down,702.0,1.0
15,D,P,top,slider,down,661.0,1.0
15,D,N,bottom,button,top,730.0,1.0
15,D,G,top,slider,down,2647.0,1.0
15,D,G,bottom,button,top,688.0,1.0
15,D,N,top,slider,down,743.0,1.0
15,D,G,bottom,button,top,616.0,1.0
15,D,M,top,slider,down,668.0,1.0
15,D,M,bottom,button,top,740.0,1.0
15,D,M,top,slider,down,799.0,1.0
15,D,N,bottom,button,top,700.0,1.0
15,D,G,bottom,slider,top,583.0,1.0
15,D,G,bottom,button,top,815.0,1.0
15,D,N,bottom,slider,top,1700.0,1.0
15,D,M,top,button,down,626.0,1.0
15,D,N,top,slider,down,1689.0,1.0
15,D,N,bottom,button,top,658.0,1.0
15,D,M,bottom,slider,top,657.0,1.0
15,D,M,top,button,down,647.0,1.0
15,D,G,top,slider,down,1532.0,1.0
15,D,P,bottom,button,top,702.0,1.0
15,D,G,bottom,slider,top,602.0,1.0
15,D,P,top,button,down,1129.0,1.0
15,D,P,bottom,slider,top,531.0,1.0
15,D,M,bottom,button,top,676.0,1.0
15,D,M,bottom,slider,top,634.0,1.0
15,D,N,top,button,down,698.0,1.0
15,D,G,bottom,slider,top,791.0,1.0
15,D,G,top,button,down,677.0,1.0
15,D,M,bottom,slider,top,641.0,1.0
15,I,N,bottom,button,top,2616.0,1.0
15,I,P,bottom,slider,top,1936.0,1.0
15,I,P,top,button,top,863.0,0.0
15,I,P,bottom,slider,top,689.0,1.0
15,I,P,bottom,button,down,961.0,0.0
15,I,P,top,slider,down,705.0,1.0
15,I,P,bottom,button,top,864.0,1.0
15,I,N,top,slider,down,969.0,1.0
15,I,N,bottom,button,top,832.0,1.0
15,I,N,bottom,slider,down,791.0,0.0
15,I,G,top,button,down,767.0,1.0
15,I,M,bottom,slider,top,1966.0,1.0
15,I,N,top,button,down,816.0,1.0
15,I,N,top,slider,down,615.0,1.0
15,I,M,top,button,down,713.0,1.0
15,I,P,top,slider,down,2353.0,1.0
15,I,N,top,button,down,776.0,1.0
15,I,M,top,slider,down,824.0,1.0
15,I,G,top,button,down,833.0,1.0
15,I,M,top,slider,down,726.0,1.0
15,I,P,bottom,button,top,624.0,1.0
15,I,M,bottom,slider,top,1913.0,1.0
15,I,G,bottom,button,down,904.0,0.0
15,I,G,top,slider,down,616.0,1.0
15,I,N,bottom,button,top,841.0,1.0
15,I,M,bottom,slider,top,695.0,1.0
15,I,M,bottom,button,down,896.0,0.0
15,I,N,bottom,slider,top,577.0,1.0
15,I,G,top,button,down,977.0,1.0
15,I,N,top,slider,down,1919.0,1.0
15,I,P,top,button,top,863.0,0.0
15,I,G,bottom,slider,top,694.0,1.0
15,I,N,bottom,button,top,824.0,1.0
15,I,P,bottom,slider,top,1336.0,1.0
15,I,M,bottom,button,top,799.0,1.0
15,I,M,top,slider,down,1865.0,1.0
15,I,P,bottom,button,top,752.0,1.0
15,I,P,bottom,slider,top,711.0,1.0
15,I,N,top,button,down,1385.0,1.0
15,I,P,top,slider,down,1448.0,1.0
15,I,G,top,button,top,913.0,0.0
15,I,G,top,slider,down,760.0,1.0
15,I,M,bottom,button,top,840.0,1.0
15,I,G,top,slider,down,818.0,1.0
15,I,P,bottom,button,top,816.0,1.0
15,I,P,bottom,slider,top,1945.0,1.0
15,I,G,bottom,button,top,816.0,1.0
15,I,G,bottom,slider,top,584.0,1.0
15,I,P,bottom,button,down,969.0,0.0
15,I,N,bottom,slider,top,681.0,1.0
15,I,M,top,button,down,1064.0,1.0
15,I,P,bottom,slider,top,3513.0,1.0
15,I,N,bottom,button,top,871.0,1.0
15,I,G,top,slider,down,601.0,1.0
15,I,G,top,button,top,1233.0,0.0
15,I,N,bottom,slider,top,607.0,1.0
15,I,G,top,button,down,969.0,1.0
15,I,M,top,slider,down,663.0,1.0
15,I,M,bottom,button,top,888.0,1.0
15,I,M,top,slider,down,1938.0,1.0
15,I,N,top,button,down,1368.0,1.0
15,I,G,bottom,slider,top,2208.0,1.0
15,I,G,bottom,button,top,911.0,1.0
15,I,N,bottom,slider,top,840.0,1.0
15,I,M,top,button,down,1143.0,1.0
15,I,N,bottom,slider,top,1775.0,1.0
15,I,N,bottom,button,top,1048.0,1.0
15,I,M,top,slider,down,887.0,1.0
15,I,M,top,button,down,1079.0,1.0
