no,control,stimulus,position,ui,response,rt,SR
26,I,G,top,button,top,1264.0,0.0
26,I,N,top,slider,top,1681.0,0.0
26,I,P,top,button,top,1264.0,0.0
26,I,N,top,slider,top,1161.0,0.0
26,I,M,top,button,top,1176.0,0.0
26,I,P,top,slider,top,1079.0,0.0
26,I,M,bottom,button,down,1145.0,0.0
26,I,G,bottom,slider,down,1081.0,0.0
26,I,N,top,button,top,1206.0,0.0
26,I,M,top,slider,top,1103.0,0.0
26,I,N,top,button,top,1032.0,0.0
26,I,G,top,slider,top,969.0,0.0
26,I,N,bottom,button,down,993.0,0.0
26,I,N,bottom,slider,down,895.0,0.0
26,I,P,top,button,top,815.0,0.0
26,I,N,top,slider,top,761.0,0.0
26,I,P,top,button,top,1105.0,0.0
26,I,P,bottom,slider,down,953.0,0.0
26,I,G,bottom,button,down,953.0,0.0
26,I,G,top,slider,top,895.0,0.0
26,I,P,top,button,top,834.0,0.0
26,I,P,top,slider,top,721.0,0.0
26,I,M,bottom,button,down,1455.0,0.0
26,I,M,top,slider,top,964.0,0.0
26,I,M,top,button,top,1136.0,0.0
26,I,M,top,slider,top,566.0,0.0
26,I,M,bottom,button,down,776.0,0.0
26,I,N,top,slider,top,793.0,0.0
26,I,P,top,button,top,1018.0,0.0
26,I,M,top,slider,top,1059.0,0.0
26,I,P,bottom,button,down,1087.0,0.0
26,I,G,top,slider,top,1073.0,0.0
26,I,G,bottom,button,down,1430.0,0.0
26,I,N,top,slider,top,936.0,0.0
26,I,P,bottom,button,down,944.0,0.0
26,I,P,bottom,slider,down,1023.0,0.0
26,I,M,bottom,button,down,777.0,0.0
26,I,N,bottom,slider,down,792.0,0.0
26,I,N,top,button,top,1080.0,0.0
26,I,M,bottom,slider,down,929.0,0.0
26,I,G,bottom,button,down,1129.0,0.0
26,I,G,bottom,slider,down,911.0,0.0
26,I,G,top,button,top,864.0,0.0
26,I,N,top,slider,top,911.0,0.0
26,I,M,top,button,top,849.0,0.0
26,I,G,bottom,slider,down,1009.0,0.0
26,I,N,top,button,top,1024.0,0.0
26,I,G,bottom,slider,down,952.0,0.0
26,I,P,top,button,top,824.0,0.0
26,I,G,top,slider,top,847.0,0.0
26,I,N,bottom,button,down,1016.0,0.0
26,I,P,top,slider,top,792.0,0.0
26,I,M,top,button,top,1064.0,0.0
26,I,G,bottom,slider,down,1033.0,0.0
26,I,N,bottom,button,down,1000.0,0.0
26,I,P,bottom,slider,down,754.0,0.0
26,I,M,bottom,button,down,967.0,0.0
26,I,M,bottom,slider,down,824.0,0.0
26,I,N,bottom,button,down,950.0,0.0
26,I,P,bottom,slider,down,751.0,0.0
26,I,P,bottom,button,down,823.0,0.0
26,I,G,top,slider,top,857.0,0.0
26,I,M,top,button,top,960.0,0.0
26,I,N,top,slider,top,921.0,0.0
26,I,M,bottom,button,down,983.0,0.0
26,I,N,bottom,slider,down,938.0,0.0
26,I,P,bottom,button,down,849.0,0.0
26,I,G,top,slider,top,1063.0,0.0
26,I,N,top,button,top,816.0,0.0
26,I,G,bottom,slider,down,703.0,0.0
26,I,N,bottom,button,down,841.0,0.0
26,I,G,bottom,slider,down,707.0,0.0
26,I,P,top,button,top,1273.0,0.0
26,I,G,top,slider,top,944.0,0.0
26,I,M,bottom,button,down,880.0,0.0
26,I,G,bottom,slider,down,743.0,0.0
26,I,M,top,button,top,1041.0,0.0
26,I,P,top,slider,top,648.0,0.0
26,I,M,bottom,button,down,817.0,0.0
26,I,P,bottom,slider,down,763.0,0.0
26,D,G,bottom,button,down,897.0,0.0
26,D,N,bottom,slider,down,885.0,0.0
26,D,P,top,button,top,1484.0,0.0
26,D,N,bottom,slider,down,766.0,0.0
26,D,M,top,button,top,786.0,0.0
26,D,P,top,slider,top,988.0,0.0
26,D,M,bottom,button,down,851.0,0.0
26,D,G,bottom,slider,down,806.0,0.0
26,D,N,bottom,button,down,822.0,0.0
26,D,M,top,slider,top,783.0,0.0
26,D,N,bottom,button,down,706.0,0.0
26,D,G,top,slider,top,711.0,0.0
26,D,N,bottom,button,down,667.0,0.0
26,D,N,bottom,slider,down,768.0,0.0
26,D,P,top,button,top,764.0,0.0
26,D,N,top,slider,top,767.0,0.0
26,D,P,top,button,top,846.0,0.0
26,D,P,bottom,slider,down,756.0,0.0
26,D,G,top,button,top,762.0,0.0
26,D,G,top,slider,top,800.0,0.0
26,D,P,top,button,top,834.0,0.0
26,D,P,top,slider,top,657.0,0.0
26,D,M,top,button,top,728.0,0.0
26,D,M,bottom,slider,down,907.0,0.0
26,D,M,bottom,button,down,1012.0,0.0
26,D,M,top,slider,top,781.0,0.0
26,D,M,top,button,top,799.0,0.0
26,D,N,top,slider,top,772.0,0.0
26,D,P,top,button,top,1035.0,0.0
26,D,M,top,slider,top,2008.0,0.0
26,D,P,top,button,top,806.0,0.0
26,D,G,bottom,slider,down,642.0,0.0
26,D,G,bottom,button,down,814.0,0.0
26,D,N,top,slider,top,743.0,0.0
26,D,P,bottom,button,down,728.0,0.0
26,D,P,top,slider,top,810.0,0.0
26,D,M,bottom,button,down,751.0,0.0
26,D,N,bottom,slider,down,733.0,0.0
26,D,N,bottom,button,down,708.0,0.0
26,D,M,bottom,slider,down,861.0,0.0
26,D,G,top,button,top,786.0,0.0
26,D,G,top,slider,top,729.0,0.0
26,D,G,bottom,button,down,876.0,0.0
26,D,N,bottom,slider,down,622.0,0.0
