no,control,stimulus,position,ui,response,rt,SR
24,D,P,bottom,button,top,1583.0,1.0
24,D,M,bottom,slider,top,1277.0,1.0
24,D,P,bottom,button,top,1670.0,1.0
24,D,N,bottom,slider,top,1123.0,1.0
24,D,M,bottom,button,top,1041.0,1.0
24,D,M,top,slider,down,1077.0,1.0
24,D,M,bottom,button,top,975.0,1.0
24,D,P,bottom,slider,top,960.0,1.0
24,D,N,top,button,down,870.0,1.0
24,D,M,top,slider,down,965.0,1.0
24,D,P,bottom,button,top,1922.0,1.0
24,D,G,top,slider,down,961.0,1.0
24,D,G,top,button,down,896.0,1.0
24,D,P,bottom,slider,top,729.0,1.0
24,D,G,bottom,button,top,1169.0,1.0
24,D,M,bottom,slider,top,993.0,1.0
24,D,M,bottom,button,top,900.0,1.0
24,D,M,top,slider,down,812.0,1.0
24,D,P,top,button,down,742.0,1.0
24,D,G,bottom,slider,top,785.0,1.0
24,D,G,bottom,button,top,845.0,1.0
24,D,G,bottom,slider,top,769.0,1.0
24,D,P,top,button,down,786.0,1.0
24,D,N,bottom,slider,top,719.0,1.0
24,D,M,bottom,button,top,814.0,1.0
24,D,G,bottom,slider,top,3462.0,1.0
24,D,N,top,button,down,915.0,1.0
24,D,N,top,slider,down,963.0,1.0
24,D,P,top,button,down,848.0,1.0
24,D,N,top,slider,down,785.0,1.0
24,D,N,top,button,down,837.0,1.0
24,D,N,top,slider,down,922.0,1.0
24,D,G,top,button,down,727.0,1.0
24,D,N,bottom,slider,top,834.0,1.0
24,D,P,top,button,down,974.0,1.0
24,D,N,top,slider,down,809.0,1.0
24,D,M,top,button,down,795.0,1.0
24,D,P,bottom,slider,top,1041.0,1.0
24,D,P,bottom,button,top,1068.0,1.0
24,D,P,bottom,slider,top,884.0,1.0
24,D,G,bottom,button,top,719.0,1.0
24,D,M,bottom,slider,top,811.0,1.0
24,D,M,top,button,down,784.0,1.0
24,D,G,top,slider,down,870.0,1.0
24,D,G,top,button,down,745.0,1.0
24,D,P,bottom,slider,top,772.0,1.0
24,D,G,top,button,down,718.0,1.0
24,D,N,bottom,slider,top,786.0,1.0
24,D,P,top,button,down,701.0,1.0
24,D,M,top,slider,down,928.0,1.0
24,D,P,top,button,down,914.0,1.0
24,D,P,top,slider,down,707.0,1.0
24,D,G,top,button,down,649.0,1.0
24,D,N,bottom,slider,top,794.0,1.0
24,D,G,top,button,down,756.0,1.0
24,D,G,top,slider,down,2970.0,1.0
24,D,N,bottom,button,top,914.0,1.0
24,D,G,top,slider,down,752.0,1.0
24,D,N,top,button,down,721.0,1.0
24,D,P,bottom,slider,top,829.0,1.0
24,D,G,top,button,down,808.0,1.0
24,D,N,top,slider,down,856.0,1.0
24,D,G,top,button,down,657.0,1.0
24,D,N,bottom,slider,top,728.0,1.0
24,D,M,bottom,button,top,1180.0,1.0
24,D,G,top,slider,down,761.0,1.0
24,D,G,top,button,down,668.0,1.0
24,D,M,bottom,slider,top,833.0,1.0
24,D,M,top,button,down,837.0,1.0
24,D,P,bottom,slider,top,815.0,1.0
24,D,P,top,button,down,724.0,1.0
24,D,N,bottom,slider,top,750.0,1.0
