no,control,stimulus,position,ui,response,rt,SR
20,D,P,top,button,down,5507.0,1.0
20,D,M,bottom,slider,top,1357.0,1.0
20,D,P,bottom,button,top,7176.0,1.0
20,D,N,top,slider,down,1410.0,1.0
20,D,G,bottom,button,top,1456.0,1.0
20,D,N,bottom,slider,top,1551.0,1.0
20,D,N,bottom,button,top,1283.0,1.0
20,D,G,bottom,slider,top,1533.0,1.0
20,D,G,top,button,down,1530.0,1.0
20,D,M,top,slider,down,1523.0,1.0
20,D,G,top,button,down,1307.0,1.0
20,D,N,top,slider,down,1269.0,1.0
20,D,N,top,button,down,1513.0,1.0
20,D,G,top,slider,down,1155.0,1.0
20,D,M,top,button,down,1227.0,1.0
20,D,P,bottom,slider,top,2411.0,1.0
20,D,M,bottom,button,top,2261.0,1.0
20,D,M,top,slider,down,1361.0,1.0
20,D,G,top,button,down,1084.0,1.0
20,D,M,top,slider,down,927.0,1.0
20,D,N,bottom,button,top,1170.0,1.0
20,D,M,bottom,slider,top,1612.0,1.0
20,D,N,bottom,button,top,1129.0,1.0
20,D,P,top,slider,down,1743.0,1.0
20,D,N,top,button,down,1139.0,1.0
20,D,M,top,slider,down,1234.0,1.0
20,D,G,top,button,down,1061.0,1.0
20,D,P,bottom,slider,top,1923.0,1.0
20,D,G,bottom,button,top,1029.0,1.0
20,D,P,top,slider,down,3096.0,1.0
20,D,P,top,button,down,3854.0,1.0
20,D,P,bottom,slider,top,2541.0,1.0
20,D,N,top,button,down,1426.0,1.0
20,D,G,bottom,slider,top,1448.0,1.0
20,D,G,bottom,button,top,1359.0,1.0
20,D,P,bottom,slider,top,2090.0,1.0
20,D,P,bottom,button,top,1575.0,1.0
20,D,M,top,slider,down,1525.0,1.0
20,D,M,top,button,down,2526.0,1.0
20,D,N,top,slider,down,1444.0,1.0
20,D,N,top,button,down,1339.0,1.0
20,D,N,top,slider,down,1295.0,1.0
20,D,M,bottom,button,top,2081.0,1.0
20,D,P,top,slider,down,2389.0,1.0
20,D,P,bottom,button,top,5803.0,1.0
20,D,M,top,slider,down,1695.0,1.0
20,D,N,top,button,down,1285.0,1.0
20,D,P,bottom,slider,top,1472.0,1.0
20,D,G,top,button,down,1318.0,1.0
20,D,M,top,slider,down,1308.0,1.0
20,D,G,bottom,button,top,1093.0,1.0
20,D,M,top,slider,down,1170.0,1.0
20,D,P,bottom,button,top,3423.0,1.0
20,D,P,bottom,slider,top,6993.0,1.0
20,D,G,top,button,down,1199.0,1.0
20,D,G,bottom,slider,top,1506.0,1.0
20,D,P,bottom,button,top,7678.0,1.0
20,D,G,top,slider,down,1053.0,1.0
20,D,N,bottom,button,top,1223.0,1.0
20,D,N,top,slider,down,1216.0,1.0
20,D,M,bottom,button,top,1299.0,1.0
20,D,P,bottom,slider,top,2576.0,1.0
20,D,M,bottom,button,top,1300.0,1.0
20,D,N,bottom,slider,top,1385.0,1.0
20,D,M,top,button,down,955.0,1.0
20,D,G,top,slider,down,1518.0,1.0
20,D,G,top,button,down,1018.0,1.0
20,D,P,top,slider,down,1822.0,1.0
20,D,N,top,button,down,1082.0,1.0
20,D,G,bottom,slider,top,1224.0,1.0
20,D,N,bottom,button,top,1344.0,1.0
20,D,M,bottom,slider,top,1290.0,1.0
20,D,G,top,button,down,1086.0,1.0
20,D,M,bottom,slider,top,1137.0,1.0
20,D,G,bottom,button,top,1309.0,1.0
20,D,P,bottom,slider,top,2627.0,1.0
20,D,P,bottom,button,top,1514.0,1.0
20,D,N,top,slider,down,1267.0,1.0
20,D,M,bottom,button,top,1830.0,1.0
20,D,N,top,slider,down,2131.0,1.0
20,I,P,top,button,down,2240.0,1.0
20,I,M,top,slider,down,1519.0,1.0
20,I,P,bottom,button,top,2967.0,1.0
20,I,N,bottom,slider,top,2287.0,1.0
20,I,G,top,button,down,1600.0,1.0
20,I,N,bottom,slider,top,2543.0,1.0
20,I,N,top,button,down,1038.0,1.0
20,I,G,bottom,slider,top,1255.0,1.0
20,I,G,top,button,down,1113.0,1.0
20,I,M,bottom,slider,top,1112.0,1.0
20,I,G,bottom,button,top,974.0,1.0
20,I,N,top,slider,down,1120.0,1.0
20,I,N,top,button,down,904.0,1.0
20,I,G,bottom,slider,top,855.0,1.0
20,I,M,top,button,down,984.0,1.0
20,I,P,top,slider,down,1689.0,1.0
20,I,M,bottom,button,top,1247.0,1.0
20,I,M,bottom,slider,top,1023.0,1.0
20,I,G,top,button,down,1105.0,1.0
20,I,M,bottom,slider,top,968.0,1.0
20,I,N,top,button,down,1097.0,1.0
20,I,M,top,slider,down,809.0,1.0
20,I,N,bottom,button,top,921.0,1.0
20,I,P,top,slider,down,1096.0,1.0
20,I,N,bottom,button,top,992.0,1.0
20,I,M,top,slider,down,1001.0,1.0
20,I,G,bottom,button,top,1272.0,1.0
20,I,P,top,slider,down,1167.0,1.0
20,I,G,top,button,down,1018.0,1.0
20,I,P,bottom,slider,top,1297.0,1.0
20,I,P,top,button,down,2151.0,1.0
20,I,P,top,slider,down,1528.0,1.0
20,I,N,top,button,down,1111.0,1.0
20,I,G,bottom,slider,top,985.0,1.0
20,I,G,bottom,button,top,1209.0,1.0
20,I,P,bottom,slider,top,943.0,1.0
20,I,P,bottom,button,top,953.0,1.0
20,I,M,bottom,slider,top,1176.0,1.0
20,I,M,bottom,button,top,1478.0,1.0
20,I,N,top,slider,down,920.0,1.0
20,I,N,bottom,button,top,1143.0,1.0
20,I,N,bottom,slider,top,1056.0,1.0
20,I,M,bottom,button,top,1080.0,1.0
20,I,P,top,slider,down,1681.0,1.0
20,I,P,top,button,down,2015.0,1.0
20,I,M,bottom,slider,top,1137.0,1.0
20,I,N,top,button,down,824.0,1.0
20,I,P,bottom,slider,top,1113.0,1.0
20,I,G,top,button,down,841.0,1.0
20,I,M,top,slider,down,921.0,1.0
20,I,G,bottom,button,top,880.0,1.0
20,I,M,top,slider,down,928.0,1.0
20,I,P,top,button,down,1136.0,1.0
20,I,P,bottom,slider,top,1017.0,1.0
20,I,G,top,button,down,1153.0,1.0
20,I,G,bottom,slider,top,857.0,1.0
20,I,P,bottom,button,top,871.0,1.0
20,I,G,bottom,slider,top,832.0,1.0
20,I,N,top,button,down,937.0,1.0
20,I,N,top,slider,down,911.0,1.0
20,I,M,bottom,button,top,1000.0,1.0
20,I,P,top,slider,down,1135.0,1.0
20,I,M,bottom,button,top,1176.0,1.0
20,I,N,bottom,slider,top,961.0,1.0
20,I,M,bottom,button,top,1096.0,1.0
20,I,G,bottom,slider,top,953.0,1.0
20,I,G,top,button,down,1221.0,1.0
20,I,P,top,slider,down,1055.0,1.0
20,I,N,bottom,button,top,1031.0,1.0
20,I,G,top,slider,down,1087.0,1.0
20,I,N,top,button,down,999.0,1.0
20,I,M,bottom,slider,top,807.0,1.0
20,I,G,bottom,button,top,1183.0,1.0
20,I,M,bottom,slider,top,952.0,1.0
20,I,G,bottom,button,top,888.0,1.0
20,I,P,bottom,slider,top,808.0,1.0
20,I,P,bottom,button,top,1024.0,1.0
20,I,N,top,slider,down,912.0,1.0
20,I,M,bottom,button,top,985.0,1.0
20,I,N,top,slider,down,1264.0,1.0
