no,control,stimulus,position,ui,response,rt,SR
34,I,M,top,button,down,2000.0,1.0
34,I,P,top,slider,down,1748.0,1.0
34,I,G,top,button,down,1912.0,1.0
34,I,N,bottom,slider,top,1416.0,1.0
34,I,G,bottom,button,top,1448.0,1.0
34,I,M,top,slider,down,1549.0,1.0
34,I,N,bottom,button,top,3463.0,1.0
34,I,P,top,slider,down,6072.0,1.0
34,I,P,top,button,未互動,,
34,I,N,bottom,slider,top,1197.0,1.0
34,I,N,top,button,down,1331.0,1.0
34,I,G,bottom,slider,top,1366.0,1.0
34,I,G,bottom,button,top,1364.0,1.0
34,I,G,top,slider,down,1465.0,1.0
34,I,M,top,button,top,2915.0,0.0
34,I,P,top,slider,down,1447.0,1.0
34,I,P,bottom,button,top,1283.0,1.0
34,I,G,bottom,slider,top,1850.0,1.0
34,I,N,bottom,button,top,1213.0,1.0
34,I,G,top,slider,down,1030.0,1.0
34,I,N,bottom,button,top,1013.0,1.0
34,I,M,top,slider,down,1103.0,1.0
34,I,N,top,button,top,1213.0,0.0
34,I,M,top,slider,down,1172.0,1.0
34,I,G,top,button,top,1297.0,0.0
34,I,G,bottom,slider,down,2881.0,0.0
34,I,P,bottom,button,top,897.0,1.0
34,I,N,bottom,slider,top,1182.0,1.0
34,I,P,top,button,down,1315.0,1.0
34,I,M,top,slider,down,1184.0,1.0
34,I,M,bottom,button,top,1233.0,1.0
34,I,N,top,slider,down,1263.0,1.0
34,I,P,bottom,button,top,1313.0,1.0
34,I,M,top,slider,down,1217.0,1.0
34,I,P,top,button,down,1648.0,1.0
34,I,N,bottom,slider,top,1266.0,1.0
34,I,P,bottom,button,top,845.0,1.0
34,I,P,top,slider,down,1013.0,1.0
34,I,G,bottom,button,top,946.0,1.0
34,I,G,bottom,slider,top,1330.0,1.0
34,I,M,bottom,button,top,1265.0,1.0
34,I,G,top,slider,top,2064.0,0.0
34,I,N,top,button,down,1233.0,1.0
34,I,P,top,slider,top,1347.0,0.0
34,I,M,bottom,button,top,1097.0,1.0
34,I,N,bottom,slider,top,1147.0,1.0
34,I,P,top,button,down,1245.0,1.0
