no,control,stimulus,position,ui,response,rt,SR
31,D,G,bottom,button,top,1340.0,1.0
31,D,P,bottom,slider,top,1095.0,1.0
31,D,M,top,button,down,1309.0,1.0
31,D,G,top,slider,down,1135.0,1.0
31,D,P,bottom,button,top,1027.0,1.0
31,D,M,top,slider,down,1638.0,1.0
31,D,P,top,button,down,942.0,1.0
31,D,P,top,slider,down,937.0,1.0
31,D,N,top,button,down,956.0,1.0
31,D,P,top,slider,down,1108.0,1.0
31,D,N,top,button,down,859.0,1.0
31,D,G,bottom,slider,top,948.0,1.0
31,D,P,bottom,button,top,902.0,1.0
31,D,G,bottom,slider,top,677.0,1.0
31,D,P,bottom,button,top,828.0,1.0
31,D,M,top,slider,down,785.0,1.0
31,D,G,bottom,button,top,742.0,1.0
31,D,N,bottom,slider,top,947.0,1.0
31,D,N,top,button,top,968.0,0.0
31,D,N,top,slider,down,868.0,1.0
31,D,P,top,button,down,721.0,1.0
31,D,N,top,slider,down,881.0,1.0
31,D,N,bottom,button,top,797.0,1.0
31,D,M,top,slider,down,732.0,1.0
31,D,M,bottom,button,top,894.0,1.0
31,D,P,bottom,slider,top,752.0,1.0
31,D,G,bottom,button,top,771.0,1.0
31,D,G,bottom,slider,top,786.0,1.0
31,D,M,top,button,down,897.0,1.0
31,D,N,top,slider,down,787.0,1.0
31,D,N,bottom,button,top,683.0,1.0
31,D,P,bottom,slider,top,729.0,1.0
31,D,P,bottom,button,top,785.0,1.0
31,D,N,top,slider,down,711.0,1.0
31,D,G,top,button,top,770.0,0.0
31,D,G,top,slider,down,786.0,1.0
31,D,P,top,button,down,711.0,1.0
31,D,M,bottom,slider,top,766.0,1.0
31,D,N,bottom,button,top,723.0,1.0
31,D,M,top,slider,down,754.0,1.0
31,D,M,bottom,button,top,1550.0,1.0
31,D,G,bottom,slider,top,688.0,1.0
31,D,M,bottom,button,top,1027.0,1.0
31,D,G,bottom,slider,top,745.0,1.0
31,D,M,top,button,down,873.0,1.0
31,D,M,top,slider,down,793.0,1.0
31,D,G,bottom,button,top,818.0,1.0
31,D,N,top,slider,down,872.0,1.0
31,D,G,bottom,button,top,823.0,1.0
31,D,G,bottom,slider,top,768.0,1.0
31,D,G,top,button,down,807.0,1.0
31,D,P,bottom,slider,top,816.0,1.0
31,D,N,top,button,down,710.0,1.0
31,D,M,bottom,slider,top,788.0,1.0
31,D,M,top,button,down,807.0,1.0
31,D,N,bottom,slider,top,745.0,1.0
31,D,G,bottom,button,top,679.0,1.0
31,D,P,bottom,slider,top,940.0,1.0
31,D,P,top,button,down,908.0,1.0
31,D,G,top,slider,down,859.0,1.0
31,D,M,bottom,button,top,1019.0,1.0
31,D,G,bottom,slider,top,759.0,1.0
31,D,M,bottom,button,top,1724.0,1.0
31,D,N,bottom,slider,top,913.0,1.0
31,D,M,bottom,button,top,730.0,1.0
31,D,M,bottom,slider,top,733.0,1.0
31,D,N,bottom,button,top,679.0,1.0
31,D,M,bottom,slider,top,720.0,1.0
31,D,P,bottom,button,top,661.0,1.0
31,D,P,bottom,slider,top,657.0,1.0
31,D,P,bottom,button,top,727.0,1.0
31,D,G,bottom,slider,top,688.0,1.0
31,D,M,top,button,down,744.0,1.0
31,D,N,top,slider,down,850.0,1.0
31,D,N,bottom,button,top,809.0,1.0
31,D,P,bottom,slider,top,981.0,1.0
31,D,G,top,button,down,928.0,1.0
31,D,N,bottom,slider,top,912.0,1.0
31,D,N,top,button,down,635.0,1.0
31,D,P,top,slider,down,862.0,1.0
31,I,G,bottom,button,top,1288.0,1.0
31,I,P,bottom,slider,top,1096.0,1.0
31,I,M,top,button,down,768.0,1.0
31,I,G,bottom,slider,top,3423.0,1.0
31,I,P,top,button,down,1415.0,1.0
31,I,M,top,slider,down,1128.0,1.0
31,I,P,top,button,down,1992.0,1.0
31,I,P,top,slider,down,1072.0,1.0
31,I,N,top,button,down,887.0,1.0
31,I,P,bottom,slider,top,992.0,1.0
31,I,N,bottom,button,down,1031.0,0.0
31,I,G,bottom,slider,top,1031.0,1.0
31,I,P,bottom,button,top,1623.0,1.0
31,I,G,top,slider,down,768.0,1.0
31,I,P,bottom,button,top,1160.0,1.0
31,I,M,top,slider,down,1048.0,1.0
31,I,G,top,button,down,1047.0,1.0
31,I,N,top,slider,down,1152.0,1.0
31,I,N,top,button,down,888.0,1.0
31,I,N,bottom,slider,top,983.0,1.0
31,I,P,top,button,down,1032.0,1.0
31,I,N,top,slider,down,1824.0,1.0
31,I,N,bottom,button,top,1048.0,1.0
31,I,M,bottom,slider,top,903.0,1.0
31,I,M,bottom,button,top,1104.0,1.0
31,I,P,bottom,slider,top,2327.0,1.0
