no,control,stimulus,position,ui,response,rt,SR
23,D,M,top,button,down,2470.0,1.0
23,D,P,top,slider,down,1774.0,1.0
23,D,N,bottom,button,top,1825.0,1.0
23,D,P,bottom,slider,down,1395.0,0.0
23,D,P,bottom,button,top,2197.0,1.0
23,D,P,top,slider,down,1268.0,1.0
23,D,M,bottom,button,top,932.0,1.0
23,D,N,bottom,slider,top,1101.0,1.0
23,D,M,bottom,button,top,1013.0,1.0
23,D,N,bottom,slider,top,751.0,1.0
23,D,N,bottom,button,top,1314.0,1.0
23,D,P,bottom,slider,top,887.0,1.0
23,D,P,bottom,button,top,845.0,1.0
23,D,N,bottom,slider,top,774.0,1.0
23,D,M,bottom,button,top,763.0,1.0
23,D,M,bottom,slider,top,783.0,1.0
23,D,P,top,button,down,792.0,1.0
23,D,G,bottom,slider,top,790.0,1.0
23,D,M,bottom,button,top,631.0,1.0
23,D,P,top,slider,top,642.0,0.0
23,D,P,bottom,button,top,1085.0,1.0
23,D,N,top,slider,down,3328.0,1.0
23,D,M,top,button,down,1192.0,1.0
23,D,P,bottom,slider,top,1586.0,1.0
23,D,P,top,button,down,826.0,1.0
23,D,M,top,slider,down,642.0,1.0
23,D,N,bottom,button,top,967.0,1.0
23,D,G,bottom,slider,top,771.0,1.0
23,D,M,top,button,down,771.0,1.0
23,D,P,top,slider,down,825.0,1.0
23,D,G,bottom,button,top,657.0,1.0
23,D,M,bottom,slider,top,786.0,1.0
23,D,N,top,button,down,641.0,1.0
23,D,M,bottom,slider,top,921.0,1.0
23,D,G,top,button,down,918.0,1.0
23,D,G,top,slider,down,632.0,1.0
23,D,N,top,button,down,813.0,1.0
23,D,N,top,slider,down,700.0,1.0
23,D,G,top,button,down,750.0,1.0
23,D,P,bottom,slider,top,1771.0,1.0
23,D,N,bottom,button,top,820.0,1.0
23,D,G,bottom,slider,top,798.0,1.0
23,D,M,bottom,button,top,857.0,1.0
23,D,N,top,slider,down,751.0,1.0
23,D,M,bottom,button,top,660.0,1.0
23,D,N,top,slider,down,1403.0,1.0
23,D,G,bottom,button,top,733.0,1.0
23,D,M,bottom,slider,top,931.0,1.0
23,D,G,bottom,button,top,590.0,1.0
23,D,G,top,slider,down,582.0,1.0
23,D,N,bottom,button,top,671.0,1.0
23,D,P,bottom,slider,top,764.0,1.0
23,D,M,bottom,button,top,626.0,1.0
23,D,M,top,slider,down,686.0,1.0
23,D,P,bottom,button,top,573.0,1.0
23,D,P,top,slider,down,604.0,1.0
23,D,G,bottom,button,top,549.0,1.0
23,D,P,top,slider,down,1664.0,1.0
23,D,G,bottom,button,top,603.0,1.0
23,D,M,top,slider,down,530.0,1.0
23,D,G,top,button,down,948.0,1.0
23,D,G,top,slider,down,557.0,1.0
23,D,M,top,button,top,504.0,0.0
23,D,P,top,slider,down,1635.0,1.0
23,D,N,top,button,down,638.0,1.0
23,D,N,bottom,slider,top,642.0,1.0
23,D,N,bottom,button,top,626.0,1.0
23,D,N,top,slider,down,615.0,1.0
23,D,G,bottom,button,top,656.0,1.0
23,D,P,bottom,slider,top,529.0,1.0
23,D,G,top,button,down,617.0,1.0
23,D,G,top,slider,down,568.0,1.0
23,D,G,bottom,button,top,524.0,1.0
23,D,G,bottom,slider,top,487.0,1.0
23,D,N,bottom,button,top,581.0,1.0
23,D,N,top,slider,down,532.0,1.0
23,D,M,bottom,button,top,631.0,1.0
23,D,P,bottom,slider,top,616.0,1.0
23,D,G,top,button,down,1112.0,1.0
23,D,M,top,slider,down,3484.0,1.0
23,I,M,bottom,button,top,2054.0,1.0
23,I,P,bottom,slider,top,1086.0,1.0
23,I,N,bottom,button,top,832.0,1.0
23,I,P,bottom,slider,top,1484.0,1.0
23,I,P,top,button,down,1191.0,1.0
23,I,P,top,slider,down,736.0,1.0
23,I,M,bottom,button,top,804.0,1.0
23,I,N,top,slider,down,557.0,1.0
23,I,M,top,button,down,794.0,1.0
23,I,N,top,slider,down,658.0,1.0
23,I,N,bottom,button,top,676.0,1.0
23,I,P,bottom,slider,top,711.0,1.0
23,I,P,top,button,down,544.0,1.0
23,I,N,bottom,slider,top,693.0,1.0
23,I,M,bottom,button,top,907.0,1.0
23,I,M,top,slider,down,677.0,1.0
23,I,P,top,button,down,870.0,1.0
23,I,G,bottom,slider,top,1677.0,1.0
23,I,M,top,button,down,535.0,1.0
23,I,P,bottom,slider,top,551.0,1.0
23,I,P,top,button,down,726.0,1.0
23,I,N,bottom,slider,top,655.0,1.0
23,I,M,bottom,button,top,691.0,1.0
23,I,P,top,slider,down,1226.0,1.0
23,I,P,bottom,button,top,1604.0,1.0
23,I,M,bottom,slider,top,803.0,1.0
23,I,N,top,button,down,800.0,1.0
23,I,G,bottom,slider,top,1912.0,1.0
23,I,M,bottom,button,top,918.0,1.0
23,I,P,bottom,slider,top,2508.0,1.0
23,I,G,bottom,button,top,741.0,1.0
23,I,M,top,slider,down,618.0,1.0
23,I,N,bottom,button,top,1094.0,1.0
23,I,M,top,slider,down,688.0,1.0
23,I,G,top,button,down,887.0,1.0
23,I,G,bottom,slider,top,768.0,1.0
23,I,N,top,button,down,564.0,1.0
23,I,N,bottom,slider,top,1245.0,1.0
23,I,G,bottom,button,top,750.0,1.0
23,I,P,top,slider,down,756.0,1.0
23,I,N,top,button,down,1737.0,1.0
23,I,G,top,slider,down,1299.0,1.0
23,I,M,top,button,down,823.0,1.0
23,I,N,top,slider,down,791.0,1.0
23,I,M,bottom,button,top,900.0,1.0
23,I,N,top,slider,down,722.0,1.0
23,I,G,top,button,down,1193.0,1.0
23,I,M,bottom,slider,top,1395.0,1.0
23,I,G,bottom,button,top,1178.0,1.0
23,I,G,bottom,slider,top,694.0,1.0
23,I,N,top,button,down,779.0,1.0
23,I,P,top,slider,down,715.0,1.0
23,I,M,top,button,down,848.0,1.0
23,I,M,top,slider,down,725.0,1.0
23,I,P,top,button,down,721.0,1.0
23,I,P,bottom,slider,top,849.0,1.0
23,I,G,top,button,down,687.0,1.0
23,I,P,top,slider,down,719.0,1.0
23,I,G,bottom,button,top,888.0,1.0
23,I,M,bottom,slider,top,683.0,1.0
23,I,G,bottom,button,top,808.0,1.0
23,I,G,bottom,slider,top,668.0,1.0
23,I,M,top,button,down,914.0,1.0
23,I,P,bottom,slider,top,655.0,1.0
23,I,N,top,button,down,570.0,1.0
23,I,N,top,slider,down,643.0,1.0
23,I,N,bottom,button,top,509.0,1.0
23,I,N,top,slider,down,1843.0,1.0
23,I,G,top,button,down,1097.0,1.0
23,I,P,top,slider,down,720.0,1.0
23,I,G,bottom,button,top,737.0,1.0
23,I,G,bottom,slider,top,1156.0,1.0
23,I,G,top,button,down,910.0,1.0
23,I,G,bottom,slider,top,630.0,1.0
23,I,N,top,button,down,730.0,1.0
23,I,N,bottom,slider,top,616.0,1.0
23,I,M,top,button,down,699.0,1.0
23,I,P,bottom,slider,top,2099.0,1.0
23,I,G,top,button,down,905.0,1.0
23,I,M,top,slider,down,779.0,1.0
