no,control,stimulus,position,ui,response,rt,SR
35,D,N,bottom,button,top,1796.0,1.0
35,D,M,bottom,slider,top,1400.0,1.0
35,D,G,top,button,down,2565.0,1.0
35,D,M,bottom,slider,top,1081.0,1.0
35,D,M,bottom,button,top,1566.0,1.0
35,D,M,bottom,slider,top,1046.0,1.0
35,D,N,top,button,down,1263.0,1.0
35,D,M,bottom,slider,top,1131.0,1.0
35,D,G,top,button,down,1115.0,1.0
35,D,P,bottom,slider,top,1130.0,1.0
35,D,M,top,button,down,1148.0,1.0
35,D,P,top,slider,down,1046.0,1.0
35,D,G,bottom,button,top,1098.0,1.0
35,D,M,top,slider,down,1132.0,1.0
35,D,M,bottom,button,top,1002.0,1.0
35,D,P,bottom,slider,top,881.0,1.0
35,D,P,top,button,down,1065.0,1.0
35,D,N,top,slider,down,897.0,1.0
35,D,P,bottom,button,top,1100.0,1.0
35,D,G,top,slider,down,881.0,1.0
35,D,P,top,button,down,933.0,1.0
35,D,P,bottom,slider,top,1028.0,1.0
35,D,G,bottom,button,top,1568.0,1.0
35,D,G,bottom,slider,top,1098.0,1.0
35,D,G,bottom,button,top,1149.0,1.0
35,D,M,bottom,slider,top,848.0,1.0
35,D,P,top,button,down,1048.0,1.0
35,D,G,bottom,slider,top,848.0,1.0
35,D,N,top,button,down,933.0,1.0
35,D,N,bottom,slider,top,798.0,1.0
35,D,N,bottom,button,top,816.0,1.0
35,D,M,bottom,slider,top,814.0,1.0
35,D,M,bottom,button,top,798.0,1.0
35,D,N,top,slider,down,914.0,1.0
35,D,N,top,button,down,983.0,1.0
35,D,P,bottom,slider,top,847.0,1.0
35,D,G,bottom,button,top,933.0,1.0
35,D,P,top,slider,down,932.0,1.0
35,D,G,top,button,down,1149.0,1.0
35,D,N,top,slider,down,931.0,1.0
35,D,M,top,button,down,1065.0,1.0
35,D,P,top,slider,down,1115.0,1.0
35,D,M,top,button,down,1016.0,1.0
35,D,G,bottom,slider,top,899.0,1.0
35,D,G,bottom,button,top,1032.0,1.0
35,D,N,top,slider,down,900.0,1.0
35,D,M,top,button,down,915.0,1.0
35,D,P,top,slider,down,882.0,1.0
35,D,N,bottom,button,top,1000.0,1.0
35,D,N,top,slider,down,898.0,1.0
35,D,G,top,button,down,818.0,1.0
35,D,P,bottom,slider,top,815.0,1.0
35,D,P,top,button,down,932.0,1.0
35,D,P,top,slider,down,1030.0,1.0
35,D,N,top,button,down,947.0,1.0
35,D,P,bottom,slider,top,931.0,1.0
35,D,N,bottom,button,top,949.0,1.0
35,D,M,top,slider,down,915.0,1.0
35,D,G,top,button,down,952.0,1.0
35,D,N,bottom,slider,top,914.0,1.0
35,D,N,bottom,button,top,914.0,1.0
35,D,P,top,slider,down,882.0,1.0
35,D,P,top,button,down,1066.0,1.0
35,D,N,bottom,slider,top,880.0,1.0
35,D,N,top,button,down,917.0,1.0
35,D,G,bottom,slider,top,882.0,1.0
35,D,P,bottom,button,top,1081.0,1.0
35,D,G,bottom,slider,top,1048.0,1.0
35,D,N,bottom,button,top,900.0,1.0
35,D,M,top,slider,down,981.0,1.0
35,D,M,top,button,down,1016.0,1.0
35,D,G,bottom,slider,top,982.0,1.0
35,D,M,bottom,button,top,1000.0,1.0
35,D,M,bottom,slider,top,983.0,1.0
35,D,N,bottom,button,top,949.0,1.0
35,D,P,bottom,slider,top,998.0,1.0
35,D,G,top,button,down,1117.0,1.0
35,D,M,bottom,slider,top,865.0,1.0
35,D,G,top,button,down,999.0,1.0
35,D,G,top,slider,down,1119.0,1.0
35,I,N,top,button,down,1603.0,1.0
35,I,M,top,slider,down,1951.0,1.0
35,I,G,bottom,button,top,1867.0,1.0
35,I,M,top,slider,down,1298.0,1.0
35,I,M,top,button,down,1698.0,1.0
35,I,M,bottom,slider,top,1449.0,1.0
35,I,N,top,button,down,1231.0,1.0
35,I,M,bottom,slider,top,1215.0,1.0
35,I,G,bottom,button,top,2150.0,1.0
35,I,P,top,slider,down,1354.0,1.0
35,I,M,top,button,down,1518.0,1.0
35,I,P,bottom,slider,top,1480.0,1.0
35,I,G,top,button,down,1588.0,1.0
35,I,M,bottom,slider,top,1577.0,1.0
35,I,M,top,button,down,1195.0,1.0
35,I,P,top,slider,down,1148.0,1.0
35,I,P,bottom,button,top,1364.0,1.0
35,I,N,bottom,slider,top,1163.0,1.0
35,I,P,top,button,down,1398.0,1.0
35,I,G,top,slider,down,1016.0,1.0
35,I,P,top,button,down,1616.0,1.0
35,I,P,bottom,slider,top,1199.0,1.0
35,I,G,top,button,down,1147.0,1.0
35,I,G,bottom,slider,top,1098.0,1.0
35,I,G,bottom,button,top,1130.0,1.0
35,I,M,top,slider,down,1216.0,1.0
35,I,P,bottom,button,top,1732.0,1.0
35,I,G,bottom,slider,top,1028.0,1.0
35,I,N,bottom,button,top,932.0,1.0
35,I,N,bottom,slider,top,1048.0,1.0
35,I,N,bottom,button,top,1165.0,1.0
35,I,M,top,slider,down,1230.0,1.0
35,I,M,top,button,down,1249.0,1.0
35,I,N,bottom,slider,top,1115.0,1.0
35,I,N,top,button,down,1182.0,1.0
35,I,P,bottom,slider,top,932.0,1.0
35,I,G,bottom,button,top,1016.0,1.0
35,I,P,top,slider,down,1015.0,1.0
35,I,G,top,button,down,1232.0,1.0
35,I,N,top,slider,down,1030.0,1.0
35,I,M,bottom,button,top,1198.0,1.0
35,I,P,bottom,slider,top,964.0,1.0
35,I,M,bottom,button,top,1066.0,1.0
35,I,G,top,slider,down,1100.0,1.0
35,I,G,top,button,down,1101.0,1.0
35,I,N,bottom,slider,top,1384.0,1.0
35,I,M,bottom,button,top,1314.0,1.0
35,I,P,bottom,slider,top,932.0,1.0
35,I,N,top,button,down,986.0,1.0
35,I,N,top,slider,down,950.0,1.0
35,I,G,top,button,down,1181.0,1.0
35,I,P,bottom,slider,top,1050.0,1.0
35,I,P,bottom,button,top,1433.0,1.0
35,I,P,bottom,slider,top,1182.0,1.0
35,I,N,top,button,down,1273.0,1.0
35,I,P,bottom,slider,top,1315.0,1.0
35,I,N,bottom,button,top,989.0,1.0
35,I,M,bottom,slider,top,997.0,1.0
35,I,G,bottom,button,top,1983.0,1.0
