no,control,stimulus,position,ui,response,rt,SR
36,D,M,bottom,slider,top,642.0,1.0
36,D,G,top,button,down,559.0,1.0
36,D,M,bottom,slider,top,1723.0,1.0
36,D,P,bottom,button,top,984.0,1.0
36,D,N,top,slider,down,525.0,1.0
36,D,G,top,button,down,636.0,1.0
36,D,M,bottom,slider,top,692.0,1.0
36,D,M,bottom,button,down,673.0,0.0
36,D,G,bottom,slider,top,725.0,1.0
36,D,P,bottom,button,top,691.0,1.0
36,D,N,bottom,slider,top,668.0,1.0
36,D,N,top,button,down,875.0,1.0
36,D,P,top,slider,down,775.0,1.0
36,D,P,top,button,down,540.0,1.0
36,D,P,bottom,slider,top,626.0,1.0
