no,control,stimulus,position,ui,response,rt,SR
18,I,P,top,button,down,1430.0,1.0
18,I,M,bottom,slider,down,1119.0,0.0
18,I,N,top,button,down,1711.0,1.0
18,I,N,top,slider,down,1287.0,1.0
18,I,N,top,button,down,1510.0,1.0
18,I,P,bottom,slider,down,1159.0,0.0
18,I,M,bottom,button,down,1128.0,0.0
18,I,P,bottom,slider,down,1128.0,0.0
18,I,M,top,button,down,1056.0,1.0
18,I,M,bottom,slider,down,1048.0,0.0
18,I,P,top,button,down,1056.0,1.0
18,I,P,top,slider,down,1040.0,1.0
18,I,P,top,button,down,1769.0,1.0
18,I,N,bottom,slider,down,944.0,0.0
18,I,P,bottom,button,down,1110.0,0.0
18,I,G,top,slider,down,858.0,1.0
18,I,M,bottom,button,down,2038.0,0.0
18,I,N,bottom,slider,down,931.0,0.0
18,I,G,top,button,down,953.0,1.0
18,I,P,top,slider,down,1415.0,1.0
18,I,M,top,button,down,1040.0,1.0
18,I,M,bottom,slider,down,1008.0,0.0
18,I,N,bottom,button,down,1008.0,0.0
18,I,N,top,slider,down,1006.0,1.0
18,I,G,top,button,down,1256.0,1.0
18,I,P,top,slider,down,1264.0,1.0
18,I,G,bottom,button,down,975.0,0.0
18,I,N,bottom,slider,down,856.0,0.0
18,I,G,bottom,button,down,1008.0,0.0
18,I,M,top,slider,down,1087.0,1.0
18,I,M,bottom,button,down,1144.0,0.0
18,I,N,bottom,slider,down,864.0,0.0
18,I,G,bottom,button,down,857.0,0.0
18,I,N,bottom,slider,down,904.0,0.0
18,I,G,top,button,down,1048.0,1.0
18,I,G,top,slider,down,865.0,1.0
18,I,N,top,button,down,976.0,1.0
18,I,N,bottom,slider,down,768.0,0.0
18,I,G,bottom,button,down,1095.0,0.0
18,I,G,bottom,slider,down,983.0,0.0
18,I,N,bottom,button,down,991.0,0.0
18,I,P,bottom,slider,down,831.0,0.0
18,I,N,bottom,button,down,1343.0,0.0
18,I,G,bottom,slider,down,911.0,0.0
18,I,M,bottom,button,down,961.0,0.0
18,I,G,top,slider,down,961.0,1.0
18,I,P,top,button,down,808.0,1.0
18,I,N,bottom,slider,down,855.0,0.0
18,I,P,bottom,button,down,945.0,0.0
18,I,P,top,slider,down,1120.0,1.0
18,I,M,bottom,button,down,903.0,0.0
18,I,M,top,slider,down,944.0,1.0
18,I,M,bottom,button,down,909.0,0.0
18,I,M,bottom,slider,down,793.0,0.0
18,I,P,bottom,button,down,952.0,0.0
18,I,G,top,slider,down,1048.0,1.0
18,I,G,bottom,button,down,1417.0,0.0
18,I,N,top,slider,down,870.0,1.0
18,I,G,bottom,button,down,977.0,0.0
18,I,P,bottom,slider,down,1127.0,0.0
18,I,G,bottom,button,down,1050.0,0.0
18,I,M,bottom,slider,down,1080.0,0.0
18,I,M,bottom,button,down,840.0,0.0
18,I,P,bottom,slider,down,1160.0,0.0
18,I,M,top,button,down,983.0,1.0
18,I,N,bottom,slider,down,968.0,0.0
18,I,P,bottom,button,down,1242.0,0.0
18,I,G,bottom,slider,down,911.0,0.0
18,I,P,top,button,down,2993.0,1.0
18,I,M,bottom,slider,down,4392.0,0.0
18,I,G,top,button,down,2142.0,1.0
18,I,N,top,slider,down,775.0,1.0
18,I,N,bottom,button,down,2696.0,0.0
18,I,P,top,slider,down,801.0,1.0
18,I,M,top,button,down,1857.0,1.0
18,I,M,bottom,slider,down,784.0,0.0
18,I,N,top,button,down,1784.0,1.0
18,I,G,top,slider,down,1056.0,1.0
18,I,P,bottom,button,down,2111.0,0.0
18,I,G,top,slider,down,1193.0,1.0
18,D,P,top,button,down,1724.0,1.0
18,D,M,top,slider,down,1000.0,1.0
18,D,N,top,button,down,958.0,1.0
18,D,N,bottom,slider,down,998.0,0.0
18,D,N,top,button,down,1712.0,1.0
18,D,P,bottom,slider,top,2527.0,1.0
18,D,M,bottom,button,top,2131.0,1.0
18,D,P,top,slider,down,1086.0,1.0
18,D,M,top,button,down,1534.0,1.0
18,D,M,top,slider,down,1170.0,1.0
18,D,P,top,button,down,1576.0,1.0
18,D,P,bottom,slider,top,2521.0,1.0
18,D,P,bottom,button,top,1429.0,1.0
18,D,N,top,slider,down,869.0,1.0
18,D,P,bottom,button,top,1961.0,1.0
18,D,G,top,slider,down,913.0,1.0
18,D,M,bottom,button,top,1243.0,1.0
18,D,N,bottom,slider,top,1096.0,1.0
18,D,G,bottom,button,top,902.0,1.0
18,D,P,top,slider,down,914.0,1.0
18,D,M,top,button,down,829.0,1.0
18,D,M,bottom,slider,top,753.0,1.0
18,D,N,bottom,button,top,1256.0,1.0
18,D,N,top,slider,down,838.0,1.0
18,D,G,bottom,button,top,952.0,1.0
18,D,P,top,slider,down,841.0,1.0
18,D,G,top,button,down,1768.0,1.0
18,D,N,top,slider,down,832.0,1.0
18,D,G,top,button,down,748.0,1.0
18,D,M,bottom,slider,top,743.0,1.0
18,D,M,top,button,down,768.0,1.0
18,D,N,top,slider,down,926.0,1.0
18,D,G,bottom,button,top,986.0,1.0
18,D,N,bottom,slider,top,2558.0,1.0
18,D,G,bottom,button,top,960.0,1.0
18,D,G,top,slider,down,785.0,1.0
18,D,N,bottom,button,top,933.0,1.0
18,D,N,bottom,slider,top,2174.0,1.0
18,D,G,top,button,down,1300.0,1.0
18,D,G,top,slider,down,1032.0,1.0
18,D,N,bottom,button,top,982.0,1.0
18,D,P,bottom,slider,top,1267.0,1.0
18,D,N,top,button,down,943.0,1.0
18,D,G,bottom,slider,top,939.0,1.0
18,D,M,top,button,down,1067.0,1.0
18,D,G,bottom,slider,top,1148.0,1.0
18,D,P,top,button,down,983.0,1.0
