no,control,stimulus,position,ui,response,rt,SR
22,D,G,top,button,down,1403.0,1.0
22,D,N,bottom,slider,top,1190.0,1.0
22,D,M,top,button,down,1155.0,1.0
22,D,G,bottom,slider,top,1100.0,1.0
22,D,G,top,button,down,1102.0,1.0
22,D,G,bottom,slider,top,1022.0,1.0
22,D,M,bottom,button,top,1480.0,1.0
22,D,N,top,slider,down,856.0,1.0
22,D,P,bottom,button,top,1770.0,1.0
22,D,G,bottom,slider,top,2771.0,1.0
22,D,G,bottom,button,top,796.0,1.0
22,D,N,top,slider,down,825.0,1.0
22,D,M,top,button,down,984.0,1.0
22,D,P,top,slider,down,979.0,1.0
22,D,N,top,button,down,785.0,1.0
22,D,M,top,slider,down,871.0,1.0
22,D,P,top,button,down,736.0,1.0
22,D,G,top,slider,down,2226.0,1.0
22,D,M,top,button,down,898.0,1.0
22,D,G,top,slider,down,741.0,1.0
22,D,G,bottom,button,top,819.0,1.0
22,D,N,top,slider,down,709.0,1.0
22,D,P,bottom,button,top,815.0,1.0
22,D,M,bottom,slider,top,2046.0,1.0
22,D,P,bottom,button,top,1409.0,1.0
22,D,G,top,slider,down,895.0,1.0
22,D,M,bottom,button,top,822.0,1.0
22,D,M,top,slider,down,728.0,1.0
22,D,G,bottom,button,top,722.0,1.0
22,D,P,bottom,slider,top,842.0,1.0
22,D,P,bottom,button,top,856.0,1.0
22,D,G,top,slider,down,669.0,1.0
22,D,M,top,button,down,761.0,1.0
22,D,G,bottom,slider,top,834.0,1.0
22,D,N,bottom,button,top,687.0,1.0
22,D,N,top,slider,down,914.0,1.0
22,D,P,top,button,down,827.0,1.0
22,D,N,top,slider,down,617.0,1.0
22,D,N,bottom,button,top,718.0,1.0
22,D,P,bottom,slider,top,601.0,1.0
22,D,M,bottom,button,top,699.0,1.0
22,D,P,bottom,slider,top,643.0,1.0
22,D,G,top,button,down,718.0,1.0
22,D,P,bottom,slider,top,667.0,1.0
22,D,M,top,button,down,786.0,1.0
22,D,G,bottom,slider,top,762.0,1.0
22,D,M,top,button,down,860.0,1.0
22,D,P,top,slider,down,655.0,1.0
22,D,P,top,button,down,742.0,1.0
22,D,M,bottom,slider,top,1775.0,1.0
22,D,G,bottom,button,top,938.0,1.0
22,D,N,bottom,slider,top,843.0,1.0
22,D,N,top,button,down,762.0,1.0
22,D,M,bottom,slider,top,901.0,1.0
22,D,M,top,button,down,1009.0,1.0
22,D,N,top,slider,down,1694.0,1.0
22,D,N,bottom,button,top,622.0,1.0
22,D,G,top,slider,down,601.0,1.0
22,D,N,top,button,down,633.0,1.0
22,D,P,top,slider,down,840.0,1.0
22,D,N,top,button,down,645.0,1.0
22,D,M,bottom,slider,top,727.0,1.0
22,D,P,top,button,down,656.0,1.0
22,D,N,bottom,slider,top,634.0,1.0
22,D,G,top,button,down,760.0,1.0
22,D,M,bottom,slider,top,1856.0,1.0
22,D,P,bottom,button,top,687.0,1.0
22,D,N,bottom,slider,top,812.0,1.0
22,D,P,top,button,down,658.0,1.0
22,D,M,bottom,slider,top,815.0,1.0
22,D,P,top,button,down,729.0,1.0
22,D,G,bottom,slider,top,668.0,1.0
22,D,M,bottom,button,top,848.0,1.0
22,D,N,bottom,slider,top,668.0,1.0
22,D,P,top,button,down,668.0,1.0
22,D,N,bottom,slider,top,758.0,1.0
22,D,N,top,button,down,678.0,1.0
22,D,P,bottom,slider,top,592.0,1.0
22,D,M,bottom,button,top,741.0,1.0
22,D,G,top,slider,down,671.0,1.0
22,I,G,top,button,down,1192.0,1.0
22,I,N,bottom,slider,top,969.0,1.0
22,I,M,top,button,down,1048.0,1.0
22,I,G,top,slider,down,1073.0,1.0
22,I,G,bottom,button,top,952.0,1.0
22,I,G,bottom,slider,top,721.0,1.0
22,I,M,bottom,button,top,1192.0,1.0
22,I,N,bottom,slider,top,809.0,1.0
22,I,P,bottom,button,top,960.0,1.0
22,I,G,bottom,slider,top,827.0,1.0
22,I,G,bottom,button,top,1168.0,1.0
22,I,N,bottom,slider,top,649.0,1.0
22,I,M,bottom,button,top,958.0,1.0
22,I,P,bottom,slider,top,1017.0,1.0
22,I,N,top,button,down,823.0,1.0
22,I,M,bottom,slider,top,841.0,1.0
22,I,P,bottom,button,top,904.0,1.0
22,I,G,top,slider,down,769.0,1.0
22,I,M,top,button,down,855.0,1.0
22,I,G,bottom,slider,top,823.0,1.0
22,I,G,top,button,down,787.0,1.0
22,I,N,bottom,slider,top,895.0,1.0
22,I,P,bottom,button,top,856.0,1.0
22,I,M,bottom,slider,top,897.0,1.0
22,I,P,top,button,down,1186.0,1.0
22,I,G,top,slider,down,1105.0,1.0
22,I,M,bottom,button,top,1351.0,1.0
22,I,M,bottom,slider,top,970.0,1.0
22,I,G,bottom,button,top,1001.0,1.0
22,I,P,bottom,slider,top,929.0,1.0
22,I,P,bottom,button,top,1016.0,1.0
22,I,G,top,slider,down,680.0,1.0
22,I,M,bottom,button,top,800.0,1.0
22,I,G,bottom,slider,top,632.0,1.0
22,I,N,top,button,down,874.0,1.0
22,I,N,bottom,slider,top,768.0,1.0
22,I,P,bottom,button,top,807.0,1.0
22,I,N,bottom,slider,top,648.0,1.0
22,I,N,top,button,down,888.0,1.0
22,I,P,top,slider,down,784.0,1.0
22,I,M,bottom,button,top,1463.0,1.0
22,I,P,bottom,slider,top,1024.0,1.0
22,I,G,bottom,button,top,1040.0,1.0
22,I,P,top,slider,down,913.0,1.0
22,I,M,top,button,down,959.0,1.0
22,I,G,top,slider,down,1344.0,1.0
22,I,M,top,button,down,999.0,1.0
22,I,P,bottom,slider,top,825.0,1.0
22,I,P,top,button,down,759.0,1.0
22,I,M,bottom,slider,top,801.0,1.0
22,I,G,top,button,down,793.0,1.0
22,I,N,top,slider,down,672.0,1.0
22,I,N,top,button,down,873.0,1.0
22,I,M,bottom,slider,top,1024.0,1.0
22,I,M,bottom,button,top,1248.0,1.0
22,I,N,bottom,slider,top,592.0,1.0
22,I,N,top,button,down,816.0,1.0
