no,control,stimulus,position,ui,response,rt,SR
3,D,G,top,button,down,2069.0,1.0
3,D,M,top,slider,down,1858.0,1.0
3,D,N,top,button,down,1611.0,1.0
3,D,G,top,slider,down,1573.0,1.0
3,D,M,bottom,button,top,1436.0,1.0
3,D,N,top,slider,down,1224.0,1.0
3,D,P,bottom,button,top,2051.0,1.0
3,D,P,bottom,slider,top,2381.0,1.0
3,D,G,bottom,button,top,1393.0,1.0
3,D,N,top,slider,down,1378.0,1.0
3,D,G,bottom,button,top,1262.0,1.0
3,D,G,bottom,slider,top,1372.0,1.0
3,D,M,bottom,button,top,1143.0,1.0
3,D,M,bottom,slider,top,1524.0,1.0
3,D,N,bottom,button,top,1109.0,1.0
3,D,N,top,slider,top,1392.0,0.0
3,D,N,top,button,top,1126.0,0.0
3,D,G,bottom,slider,top,1337.0,1.0
3,D,N,top,button,top,934.0,0.0
3,D,M,bottom,slider,top,1367.0,1.0
3,D,P,bottom,button,top,1084.0,1.0
3,D,N,top,slider,top,972.0,0.0
3,D,N,top,button,top,998.0,0.0
3,D,G,top,slider,top,1096.0,0.0
3,D,M,bottom,button,top,952.0,1.0
3,D,P,top,slider,top,1167.0,0.0
3,D,N,bottom,button,top,1107.0,1.0
3,D,M,top,slider,top,1083.0,0.0
3,D,N,top,button,top,910.0,0.0
3,D,P,top,slider,top,1039.0,0.0
3,D,P,top,button,top,934.0,0.0
3,D,N,bottom,slider,top,953.0,1.0
3,D,G,top,button,top,940.0,0.0
3,D,P,bottom,slider,top,1192.0,1.0
3,D,P,bottom,button,top,839.0,1.0
3,D,M,top,slider,top,979.0,0.0
3,D,M,top,button,top,921.0,0.0
3,D,M,top,slider,top,866.0,0.0
3,D,P,bottom,button,top,803.0,1.0
3,D,N,bottom,slider,top,784.0,1.0
3,D,N,top,button,top,794.0,0.0
3,D,P,bottom,slider,top,900.0,1.0
3,D,G,top,button,top,658.0,0.0
3,D,N,top,slider,top,793.0,0.0
3,D,M,top,button,top,828.0,0.0
3,D,M,bottom,slider,top,888.0,1.0
3,D,G,top,button,top,834.0,0.0
3,D,N,top,slider,top,910.0,0.0
3,D,G,bottom,button,top,703.0,1.0
3,D,N,bottom,slider,top,745.0,1.0
3,D,N,bottom,button,top,801.0,1.0
3,D,P,top,slider,top,930.0,0.0
3,D,M,top,button,top,726.0,0.0
3,D,N,bottom,slider,top,863.0,1.0
3,D,P,top,button,top,726.0,0.0
3,D,M,bottom,slider,top,824.0,1.0
3,D,G,bottom,button,top,729.0,1.0
3,D,M,bottom,slider,top,888.0,1.0
3,D,P,top,button,top,740.0,0.0
3,D,M,top,slider,top,852.0,0.0
3,D,G,top,button,top,759.0,0.0
3,D,P,top,slider,top,850.0,0.0
3,D,M,bottom,button,top,677.0,1.0
3,D,M,top,slider,top,2336.0,0.0
3,D,P,bottom,button,top,762.0,1.0
3,D,G,bottom,slider,top,2763.0,1.0
3,D,G,bottom,slider,top,2763.0,1.0
3,D,M,bottom,slider,top,1282.0,1.0
3,D,P,top,button,top,761.0,0.0
3,D,P,bottom,slider,top,869.0,1.0
3,D,G,bottom,button,top,675.0,1.0
3,D,G,bottom,slider,top,860.0,1.0
3,D,P,top,button,top,939.0,0.0
3,D,G,bottom,slider,top,853.0,1.0
3,D,G,bottom,button,top,728.0,1.0
3,D,P,top,slider,top,949.0,0.0
3,D,G,bottom,button,top,727.0,1.0
3,D,N,top,slider,top,2773.0,0.0
3,D,P,top,button,top,785.0,0.0
3,D,G,top,slider,top,1127.0,0.0
3,I,G,bottom,button,down,1367.0,0.0
3,I,M,bottom,slider,down,3454.0,0.0
3,I,N,bottom,button,top,1191.0,1.0
3,I,G,top,slider,top,1270.0,0.0
3,I,M,bottom,button,down,1087.0,0.0
3,I,N,bottom,slider,top,1031.0,1.0
3,I,P,bottom,button,down,1021.0,0.0
3,I,P,top,slider,top,1062.0,0.0
3,I,G,bottom,button,down,950.0,0.0
3,I,N,bottom,slider,top,904.0,1.0
3,I,G,top,button,down,936.0,1.0
3,I,G,bottom,slider,top,1151.0,1.0
3,I,M,bottom,button,down,967.0,0.0
3,I,M,bottom,slider,top,856.0,1.0
3,I,N,top,button,top,1008.0,0.0
3,I,N,top,slider,down,902.0,1.0
3,I,N,top,button,down,1024.0,1.0
3,I,G,top,slider,top,1496.0,0.0
3,I,N,top,button,top,950.0,0.0
3,I,M,bottom,slider,top,748.0,1.0
3,I,P,bottom,button,down,975.0,0.0
3,I,N,bottom,slider,top,837.0,1.0
3,I,N,bottom,button,top,1518.0,1.0
3,I,G,top,slider,down,1174.0,1.0
3,I,M,bottom,button,top,1016.0,1.0
3,I,P,top,slider,down,790.0,1.0
3,I,N,top,button,top,775.0,0.0
3,I,M,top,slider,down,992.0,1.0
3,I,N,bottom,button,top,1008.0,1.0
3,I,P,top,slider,down,1216.0,1.0
3,I,P,top,button,top,2175.0,0.0
3,I,N,bottom,slider,down,1176.0,0.0
3,I,G,bottom,button,down,1007.0,0.0
3,I,P,top,slider,down,871.0,1.0
3,I,P,bottom,button,top,966.0,1.0
3,I,M,top,slider,down,1048.0,1.0
3,I,M,top,button,down,855.0,1.0
3,I,M,top,slider,down,1207.0,1.0
3,I,P,bottom,button,top,1401.0,1.0
3,I,N,top,slider,down,1806.0,1.0
3,I,N,bottom,button,top,1119.0,1.0
3,I,P,bottom,slider,top,1367.0,1.0
3,I,G,top,button,down,1039.0,1.0
3,I,N,top,slider,top,998.0,0.0
3,I,M,bottom,button,top,924.0,1.0
3,I,M,top,slider,down,1184.0,1.0
3,I,G,bottom,button,top,838.0,1.0
3,I,N,top,slider,down,887.0,1.0
3,I,G,top,button,top,895.0,0.0
3,I,N,bottom,slider,top,869.0,1.0
3,I,N,bottom,button,down,911.0,0.0
3,I,P,bottom,slider,top,893.0,1.0
3,I,M,top,button,down,1430.0,1.0
3,I,N,top,slider,top,1118.0,0.0
3,I,P,bottom,button,down,1079.0,0.0
3,I,M,bottom,slider,top,1191.0,1.0
3,I,G,bottom,button,down,1006.0,0.0
3,I,M,bottom,slider,top,1271.0,1.0
3,I,P,top,button,down,1038.0,1.0
3,I,M,bottom,slider,top,1017.0,1.0
3,I,G,bottom,button,top,1094.0,1.0
3,I,P,top,slider,down,1007.0,1.0
3,I,M,bottom,button,top,942.0,1.0
3,I,M,top,slider,down,1030.0,1.0
3,I,P,bottom,button,top,824.0,1.0
3,I,G,bottom,slider,top,1133.0,1.0
3,I,M,top,button,down,3696.0,1.0
3,I,M,top,slider,down,1125.0,1.0
3,I,P,bottom,button,top,1007.0,1.0
3,I,P,top,slider,down,1190.0,1.0
3,I,G,top,button,top,947.0,0.0
3,I,G,top,slider,down,808.0,1.0
3,I,P,bottom,button,top,942.0,1.0
3,I,G,bottom,slider,top,895.0,1.0
3,I,G,top,button,down,1832.0,1.0
3,I,P,bottom,slider,top,1039.0,1.0
3,I,G,top,button,down,996.0,1.0
3,I,N,bottom,slider,top,999.0,1.0
3,I,P,bottom,button,top,839.0,1.0
3,I,G,top,slider,down,957.0,1.0
