control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,0,11,11,0.0,1.0
D,G,slider,0,9,9,0.0,1.0
D,M,button,0,11,11,0.0,1.0
D,M,slider,1,8,9,0.1111111111111111,0.8888888888888888
D,N,button,0,8,8,0.0,1.0
D,N,slider,1,11,12,0.08333333333333333,0.9166666666666666
D,P,button,1,9,10,0.1,0.9
D,P,slider,0,10,10,0.0,1.0
I,G,button,7,4,11,0.6363636363636364,0.36363636363636365
I,G,slider,3,6,9,0.3333333333333333,0.6666666666666666
I,M,button,7,4,11,0.6363636363636364,0.36363636363636365
I,M,slider,7,2,9,0.7777777777777778,0.2222222222222222
I,N,button,4,4,8,0.5,0.5
I,N,slider,8,4,12,0.6666666666666666,0.3333333333333333
I,P,button,5,5,10,0.5,0.5
I,P,slider,5,5,10,0.5,0.5
