control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,6,6,12,0.5,0.5
D,G,slider,5,3,8,0.625,0.375
D,M,button,4,6,10,0.4,0.6
D,M,slider,2,8,10,0.2,0.8
D,N,button,1,8,9,0.1111111111111111,0.8888888888888888
D,N,slider,4,7,11,0.36363636363636365,0.6363636363636364
D,P,button,3,6,9,0.3333333333333333,0.6666666666666666
D,P,slider,5,6,11,0.45454545454545453,0.5454545454545454
I,G,button,8,4,12,0.6666666666666666,0.3333333333333333
I,G,slider,4,4,8,0.5,0.5
I,M,button,4,6,10,0.4,0.6
I,M,slider,4,6,10,0.4,0.6
I,N,button,5,4,9,0.5555555555555556,0.4444444444444444
I,N,slider,3,8,11,0.2727272727272727,0.7272727272727273
I,P,button,7,2,9,0.7777777777777778,0.2222222222222222
I,P,slider,7,4,11,0.6363636363636364,0.36363636363636365
