control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,1,10,11,0.09090909090909091,0.9090909090909091
D,G,slider,0,9,9,0.0,1.0
D,M,button,3,5,8,0.375,0.625
D,M,slider,1,11,12,0.08333333333333333,0.9166666666666666
D,N,button,0,8,8,0.0,1.0
D,N,slider,0,12,12,0.0,1.0
D,P,button,1,12,13,0.07692307692307693,0.9230769230769231
D,P,slider,0,7,7,0.0,1.0
I,G,button,4,7,11,0.36363636363636365,0.6363636363636364
I,G,slider,3,6,9,0.3333333333333333,0.6666666666666666
I,M,button,0,8,8,0.0,1.0
I,M,slider,0,12,12,0.0,1.0
I,N,button,1,7,8,0.125,0.875
I,N,slider,1,11,12,0.08333333333333333,0.9166666666666666
I,P,button,1,12,13,0.07692307692307693,0.9230769230769231
I,P,slider,0,7,7,0.0,1.0
