control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,2,9,11,0.18181818181818182,0.8181818181818182
D,G,slider,0,9,9,0.0,1.0
D,M,button,1,5,6,0.16666666666666666,0.8333333333333334
D,M,slider,2,12,14,0.14285714285714285,0.8571428571428571
D,N,button,1,10,11,0.09090909090909091,0.9090909090909091
D,N,slider,0,9,9,0.0,1.0
D,P,button,1,11,12,0.08333333333333333,0.9166666666666666
D,P,slider,0,8,8,0.0,1.0
I,G,button,2,9,11,0.18181818181818182,0.8181818181818182
I,G,slider,3,6,9,0.3333333333333333,0.6666666666666666
I,M,button,0,6,6,0.0,1.0
I,M,slider,2,12,14,0.14285714285714285,0.8571428571428571
I,N,button,2,9,11,0.18181818181818182,0.8181818181818182
I,N,slider,1,8,9,0.1111111111111111,0.8888888888888888
I,P,button,3,9,12,0.25,0.75
I,P,slider,0,8,8,0.0,1.0
