control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,6,1,7,0.8571428571428571,0.14285714285714285
D,G,slider,13,0,13,1.0,0.0
D,M,button,11,0,11,1.0,0.0
D,M,slider,9,0,9,1.0,0.0
D,N,button,13,0,13,1.0,0.0
D,N,slider,7,0,7,1.0,0.0
D,P,button,8,1,9,0.8888888888888888,0.1111111111111111
D,P,slider,10,1,11,0.9090909090909091,0.09090909090909091
I,G,button,7,0,7,1.0,0.0
I,G,slider,13,0,13,1.0,0.0
I,M,button,10,1,11,0.9090909090909091,0.09090909090909091
I,M,slider,8,1,9,0.8888888888888888,0.1111111111111111
I,N,button,13,0,13,1.0,0.0
I,N,slider,7,0,7,1.0,0.0
I,P,button,9,0,9,1.0,0.0
I,P,slider,10,1,11,0.9090909090909091,0.09090909090909091
