control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,0,12,12,0.0,1.0
D,G,slider,0,8,8,0.0,1.0
D,M,button,0,14,14,0.0,1.0
D,M,slider,0,6,6,0.0,1.0
D,N,button,0,8,8,0.0,1.0
D,N,slider,0,12,12,0.0,1.0
D,P,button,0,6,6,0.0,1.0
D,P,slider,0,14,14,0.0,1.0
I,G,button,0,12,12,0.0,1.0
I,G,slider,0,8,8,0.0,1.0
I,M,button,0,14,14,0.0,1.0
I,M,slider,1,5,6,0.16666666666666666,0.8333333333333334
I,N,button,0,8,8,0.0,1.0
I,N,slider,0,12,12,0.0,1.0
I,P,button,0,6,6,0.0,1.0
I,P,slider,0,14,14,0.0,1.0
