control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,0,11,11,0.0,1.0
D,G,slider,0,9,9,0.0,1.0
D,M,button,0,10,10,0.0,1.0
D,M,slider,0,9,9,0.0,1.0
D,N,button,0,8,8,0.0,1.0
D,N,slider,0,11,11,0.0,1.0
D,P,button,0,10,10,0.0,1.0
D,P,slider,0,10,10,0.0,1.0
I,G,button,1,10,11,0.09090909090909091,0.9090909090909091
I,G,slider,3,6,9,0.3333333333333333,0.6666666666666666
I,M,button,0,10,10,0.0,1.0
I,M,slider,0,10,10,0.0,1.0
I,N,button,1,7,8,0.125,0.875
I,N,slider,0,12,12,0.0,1.0
I,P,button,0,9,9,0.0,1.0
I,P,slider,2,8,10,0.2,0.8
