control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,5,6,11,0.45454545454545453,0.5454545454545454
D,G,slider,0,9,9,0.0,1.0
D,M,button,3,6,9,0.3333333333333333,0.6666666666666666
D,M,slider,3,8,11,0.2727272727272727,0.7272727272727273
D,N,button,3,9,12,0.25,0.75
D,N,slider,1,7,8,0.125,0.875
D,P,button,1,7,8,0.125,0.875
D,P,slider,1,11,12,0.08333333333333333,0.9166666666666666
I,G,button,7,4,11,0.6363636363636364,0.36363636363636365
I,G,slider,4,5,9,0.4444444444444444,0.5555555555555556
I,M,button,3,6,9,0.3333333333333333,0.6666666666666666
I,M,slider,2,9,11,0.18181818181818182,0.8181818181818182
I,N,button,3,9,12,0.25,0.75
I,N,slider,3,5,8,0.375,0.625
I,P,button,4,4,8,0.5,0.5
I,P,slider,3,9,12,0.25,0.75
