control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,3,7,10,0.3,0.7
D,G,slider,6,4,10,0.6,0.4
D,M,button,8,4,12,0.6666666666666666,0.3333333333333333
D,M,slider,3,5,8,0.375,0.625
D,N,button,6,4,10,0.6,0.4
D,N,slider,3,7,10,0.3,0.7
D,P,button,6,2,8,0.75,0.25
D,P,slider,6,6,12,0.5,0.5
I,G,button,8,2,10,0.8,0.2
I,G,slider,8,2,10,0.8,0.2
I,M,button,10,2,12,0.8333333333333334,0.16666666666666666
I,M,slider,4,4,8,0.5,0.5
I,N,button,6,4,10,0.6,0.4
I,N,slider,6,4,10,0.6,0.4
I,P,button,4,4,8,0.5,0.5
I,P,slider,8,4,12,0.6666666666666666,0.3333333333333333
