control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,1,6,7,0.14285714285714285,0.8571428571428571
D,G,slider,6,7,13,0.46153846153846156,0.5384615384615384
D,M,button,2,8,10,0.2,0.8
D,M,slider,2,7,9,0.2222222222222222,0.7777777777777778
D,N,button,5,7,12,0.4166666666666667,0.5833333333333334
D,N,slider,1,7,8,0.125,0.875
D,P,button,1,10,11,0.09090909090909091,0.9090909090909091
D,P,slider,0,9,9,0.0,1.0
I,G,button,1,6,7,0.14285714285714285,0.8571428571428571
I,G,slider,4,9,13,0.3076923076923077,0.6923076923076923
I,M,button,2,8,10,0.2,0.8
I,M,slider,1,9,10,0.1,0.9
I,N,button,2,10,12,0.16666666666666666,0.8333333333333334
I,N,slider,0,8,8,0.0,1.0
I,P,button,0,10,10,0.0,1.0
I,P,slider,1,8,9,0.1111111111111111,0.8888888888888888
