control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,2,6,8,0.25,0.75
D,G,slider,1,11,12,0.08333333333333333,0.9166666666666666
D,M,button,6,5,11,0.5454545454545454,0.45454545454545453
D,M,slider,0,9,9,0.0,1.0
D,N,button,2,8,10,0.2,0.8
D,N,slider,1,9,10,0.1,0.9
D,P,button,4,7,11,0.36363636363636365,0.6363636363636364
D,P,slider,0,9,9,0.0,1.0
I,G,button,4,4,8,0.5,0.5
I,G,slider,0,12,12,0.0,1.0
I,M,button,3,8,11,0.2727272727272727,0.7272727272727273
I,M,slider,0,9,9,0.0,1.0
I,N,button,4,6,10,0.4,0.6
I,N,slider,0,10,10,0.0,1.0
I,P,button,4,7,11,0.36363636363636365,0.6363636363636364
I,P,slider,0,9,9,0.0,1.0
