control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,0,10,10,0.0,1.0
D,G,slider,1,9,10,0.1,0.9
D,M,button,0,8,8,0.0,1.0
D,M,slider,1,11,12,0.08333333333333333,0.9166666666666666
D,N,button,0,12,12,0.0,1.0
D,N,slider,0,8,8,0.0,1.0
D,P,button,0,10,10,0.0,1.0
D,P,slider,0,10,10,0.0,1.0
I,G,button,0,10,10,0.0,1.0
I,G,slider,1,9,10,0.1,0.9
I,M,button,0,8,8,0.0,1.0
I,M,slider,1,11,12,0.08333333333333333,0.9166666666666666
I,N,button,0,12,12,0.0,1.0
I,N,slider,0,8,8,0.0,1.0
I,P,button,2,8,10,0.2,0.8
I,P,slider,0,10,10,0.0,1.0
